,fine,Moran's I,P-value,num_cell,month,sample,structure,celltype
1403,InN-Erbb4,0.3499725990870092,0.0001952769853286,373,8M,HZ8M06,TH,InN
1404,SMC,0.3130024223481353,8.49983343158918e-43,2228,8M,HZ8M06,TH,SMC
1405,Peri,0.2799244500819303,5.490230200687599e-38,2688,8M,HZ8M06,TH,Peri
1406,ExN-DEGLU-2,0.2677988257827858,3.682357177287059e-20,1784,8M,HZ8M06,TH,ExN
1407,Astro-5,0.2504085709385997,0.000117244021071,417,8M,HZ8M06,TH,Astro
1408,OPC-2,0.2332719208409409,0.0345132376640256,437,8M,HZ8M06,TH,OPC
1409,Astro-2,0.2282515248207374,0.0228314525624235,263,8M,HZ8M06,TH,Astro
1410,Olig-4,0.2089050703815932,0.0013031980024661,680,8M,HZ8M06,TH,Olig
1411,InN-Calb2,0.1955658240694961,0.0001973531080035,566,8M,HZ8M06,TH,InN
1412,Olig-1,0.1946373704557725,0.0044952235245238,534,8M,HZ8M06,TH,Olig
1413,ExN-DEGLU-1,0.1927389085728399,2.7331446193017814e-77,6471,8M,HZ8M06,TH,ExN
1414,Olig-2,0.1085593721733649,0.0069815346734823,1094,8M,HZ8M06,TH,Olig
1415,Micro-2,0.0948458070671763,8.292080118896391e-14,2857,8M,HZ8M06,TH,Micro
1416,Astro-2,0.3931308108034863,3.583953768782213e-07,297,12M,HZ12M01,BF,Astro
1417,ExN-DEGLU-1,0.3778598624761131,2.899852039174477e-09,625,12M,HZ12M01,BF,ExN
1418,SMC,0.3769957388983576,7.666102437551165e-90,2929,12M,HZ12M01,BF,SMC
1419,Astro-1,0.3198352131851513,0.0061528912127023,263,12M,HZ12M01,BF,Astro
1420,InN-Sncg,0.2961488090101861,1.2502435214932636e-17,1175,12M,HZ12M01,BF,InN
1421,Astro-5,0.279657740925673,3.767780791569621e-09,721,12M,HZ12M01,BF,Astro
1422,Peri,0.2291076070068621,3.157435290349857e-06,771,12M,HZ12M01,BF,Peri
1423,InN-Calb2,0.2072482606385174,1.0710310778856439e-34,2563,12M,HZ12M01,BF,InN
1424,InN-Erbb4,0.0744288907282415,0.0107924588188365,1097,12M,HZ12M01,BF,InN
1425,Olig-6,0.9746950756461816,0.000957983236961,59,12M,HZ12M01,PFC,Olig
1426,InN-Sncg,0.7606014834545651,0.0016721680296563,173,12M,HZ12M01,PFC,InN
1427,SMC,0.5998101564209429,2.6072361798568972e-14,457,12M,HZ12M01,PFC,SMC
1428,Peri,0.3816621466014689,0.0167211615663974,174,12M,HZ12M01,PFC,Peri
1429,ExN-DEGLU-1,0.3441261614389917,0.0100289200255737,175,12M,HZ12M01,PFC,ExN
1430,Astro-5,0.2714737844221152,3.873473185002058e-15,1073,12M,HZ12M01,PFC,Astro
1431,ExN-CA3,0.1274978849922217,5.361936986908295e-06,1749,12M,HZ12M01,PFC,ExN
1432,InN-Pvalb,-0.3113250979458468,0.0215256651509457,186,12M,HZ12M01,PFC,InN
1433,InN-Sncg,0.1881855960106635,0.0048670150837362,404,12M,HZ12M01,STR,InN
1434,Peri,0.1473830764211456,0.0003549712973643,1514,12M,HZ12M01,STR,Peri
1435,SMC,0.0828999316941331,0.0080961840727301,1963,12M,HZ12M01,STR,SMC
1436,ExN-CA2,0.0815601301845296,0.0023195258141959,2318,12M,HZ12M01,STR,ExN
1437,Endo,0.0705765363947462,0.0233304076387295,2081,12M,HZ12M01,STR,Endo
1438,Astro-1,0.0581965175029252,0.0201569804326153,2241,12M,HZ12M01,STR,Astro
1439,Astro-5,0.0520056043629364,0.0013989957282624,3712,12M,HZ12M01,STR,Astro
1440,MSN,0.0290703967968442,0.0017119654484077,6825,12M,HZ12M01,STR,MSN
1441,Micro-1,0.4889010516559143,0.0021095514785184,172,12M,HZ12M02,BF,Micro
1442,Astro-2,0.4851719389108048,4.0216809641699545e-32,718,12M,HZ12M02,BF,Astro
1443,Astro-5,0.4283723316945457,1.3752736921966497e-59,1670,12M,HZ12M02,BF,Astro
1444,InN-Calb2,0.3353921909134404,3.1631148071206627e-171,4254,12M,HZ12M02,BF,InN
1445,SMC,0.3345623323239046,2.7640833810538375e-76,2889,12M,HZ12M02,BF,SMC
1446,Micro-4,0.3344840352851059,0.025949003961587,114,12M,HZ12M02,BF,Micro
1447,Peri,0.3277979710543635,5.871672886413162e-35,1914,12M,HZ12M02,BF,Peri
1448,InN-Sncg,0.317215283364864,2.702316044539369e-17,1081,12M,HZ12M02,BF,InN
1449,Endo,0.2698296705641638,0.0031344183963472,491,12M,HZ12M02,BF,Endo
1450,InN-Olf,0.2622411836207643,0.0016947108132129,500,12M,HZ12M02,BF,InN
1451,Micro-2,0.2448688952545048,3.645332747267676e-15,724,12M,HZ12M02,BF,Micro
1452,ExN-DEGLU-2,0.2244834737538048,7.11423815118686e-13,1469,12M,HZ12M02,BF,ExN
1453,Astro-1,0.2167159276878991,9.430544039851953e-09,1034,12M,HZ12M02,BF,Astro
1454,ExN-L6b,0.2091154443568177,0.0155910116693299,227,12M,HZ12M02,BF,ExN
1455,ExN-DEGLU-1,0.204251979781057,0.0006091391152629,604,12M,HZ12M02,BF,ExN
1456,OPC-2,0.1430443985865687,0.0180850822361038,579,12M,HZ12M02,BF,OPC
1457,InN-Erbb4,0.1359083637171373,5.5037679970942254e-08,1413,12M,HZ12M02,BF,InN
1458,Olig-4,1.8491174769169016,0.0374090234527254,13,12M,HZ12M02,ECT,Olig
1459,Astro-3,0.7662206806436177,0.0372392004425934,37,12M,HZ12M02,ECT,Astro
1460,Micro-3,0.5634415863696374,0.0006289679641991,74,12M,HZ12M02,ECT,Micro
1461,Astro-4,-0.525492271458868,0.0389122332154496,49,12M,HZ12M02,ECT,Astro
1462,OPC-1,0.7199774667978817,0.0141785983028361,109,12M,HZ12M02,HPF,OPC
1463,ExN-DEGLU-1,0.629151961515723,0.0090798912506266,85,12M,HZ12M02,HPF,ExN
1464,InN-Sncg,0.3295768763667419,0.000127125442758,268,12M,HZ12M02,HPF,InN
1465,Astro-2,0.1490096237283043,0.0462258458394016,438,12M,HZ12M02,HPF,Astro
1466,ExN-CA2,0.0999897325476483,1.9574482348621398e-10,3363,12M,HZ12M02,HPF,ExN
1467,Astro-1,0.0854814999179364,0.0041961703021469,1192,12M,HZ12M02,HPF,Astro
1468,Astro-5,0.079803411365055,0.0051330343110013,1473,12M,HZ12M02,HPF,Astro
1469,ExN-DG,0.0440058308963833,7.943713684325605e-05,3867,12M,HZ12M02,HPF,ExN
1470,ExN-CA3,0.0374809941243094,0.0279058200110104,2078,12M,HZ12M02,HPF,ExN
1471,Micro-1,-0.2306126835625771,0.0417950199059185,238,12M,HZ12M02,HPF,Micro
1472,Micro-1,0.7648035261287326,0.0023204536581112,74,12M,HZ12M02,RS,Micro
1473,Astro-2,0.5995229979521554,1.9537551207298776e-08,216,12M,HZ12M02,RS,Astro
1474,Olig-6,0.3575890660855532,0.0041411489182463,82,12M,HZ12M02,RS,Olig
1475,Olig-5,0.3085727730071991,0.0481468300999969,47,12M,HZ12M02,RS,Olig
1476,Olig-4,0.3045384184402971,0.0003249533382034,287,12M,HZ12M02,RS,Olig
1477,SMC,0.2487332361072271,8.685068921069323e-05,461,12M,HZ12M02,RS,SMC
1478,Peri,0.2394109036565432,0.0039982659177939,348,12M,HZ12M02,RS,Peri
1479,Astro-5,0.1670800286657765,0.0039425274858511,537,12M,HZ12M02,RS,Astro
1480,Astro-1,0.1270559830891333,0.019555459521868,485,12M,HZ12M02,RS,Astro
1481,InN-Olf,0.9167243582315276,6.29718495572499e-33,523,12M,HZ12M02,TH,InN
1482,MSN,0.8402888862069163,5.330456180011624e-23,621,12M,HZ12M02,TH,MSN
1483,InN-Erbb4,0.6395815319740995,8.870489214862059e-65,1166,12M,HZ12M02,TH,InN
1484,InN-Sncg,0.5715578964803725,2.0377287386289894e-139,1931,12M,HZ12M02,TH,InN
1485,InN-Sst,0.4373985251691029,0.0028702912728625,250,12M,HZ12M02,TH,InN
1486,Peri,0.4369032675684879,2.611340418137705e-43,1818,12M,HZ12M02,TH,Peri
1487,SMC,0.4003920268025207,2.806752387386293e-49,2032,12M,HZ12M02,TH,SMC
1488,InN-Calb2,0.3770233840715868,6.622625945776554e-25,1074,12M,HZ12M02,TH,InN
1489,ExN-CA3,0.3210709978119071,0.0248253378956024,290,12M,HZ12M02,TH,ExN
1490,ExN-DEGLU-1,0.2657272895824351,3.719219762336105e-152,5854,12M,HZ12M02,TH,ExN
1491,ExN-CA2,0.2472185521035978,1.2051907142316646e-05,909,12M,HZ12M02,TH,ExN
1492,ExN-DEGLU-2,0.2408778792574196,3.1730462825584157e-12,1442,12M,HZ12M02,TH,ExN
1493,Endo,0.2400218868580191,8.633014372355383e-05,877,12M,HZ12M02,TH,Endo
1494,Astro-5,0.2392567180569612,3.978385458660944e-60,4381,12M,HZ12M02,TH,Astro
1495,Astro-2,0.222800609255299,1.4211590622355942e-06,992,12M,HZ12M02,TH,Astro
1496,Micro-3,0.2074704159837847,4.540695918825299e-05,624,12M,HZ12M02,TH,Micro
1497,ExN-L6b,0.1837527074685931,7.082386036013238e-05,699,12M,HZ12M02,TH,ExN
1498,Astro-4,0.1540824286506774,0.0143407762828685,651,12M,HZ12M02,TH,Astro
1499,Olig-4,0.1532049714245257,4.049841026393969e-05,1047,12M,HZ12M02,TH,Olig
1500,Astro-1,0.1132440696246824,1.800736620203815e-07,2571,12M,HZ12M02,TH,Astro
1501,Micro-2,0.0510843813520364,0.0011024172631355,2146,12M,HZ12M02,TH,Micro
1502,Micro-3,0.2153026947314726,0.02758073065391,195,12M,HZ12M03,BF,Micro
1503,InN-Sncg,0.1168192882472374,0.0355016022653303,640,12M,HZ12M03,BF,InN
1504,ExN-DEGLU-2,0.106580677129103,0.0066628189654572,1133,12M,HZ12M03,BF,ExN
1505,SMC,0.1039392568110442,0.0010522821839763,1326,12M,HZ12M03,BF,SMC
1506,Peri,0.1026684686063171,0.0050016185243176,1091,12M,HZ12M03,BF,Peri
1507,ExN-DEGLU-1,0.0845154322908852,0.0113100716460591,1211,12M,HZ12M03,BF,ExN
1508,Astro-5,0.0749775914311178,0.0363534796678579,990,12M,HZ12M03,BF,Astro
1509,InN-Calb2,0.057260943129522,2.170864118656775e-06,3814,12M,HZ12M03,BF,InN
1510,ExN-CA3,-1.9163992450903933,0.005203739706922,30,12M,HZ12M03,BF,ExN
1511,Astro-4,0.4452633759624753,0.0404875324985865,103,12M,HZ12M03,PFC,Astro
1512,SMC,0.4154617124340232,1.1405149828412279e-32,1113,12M,HZ12M03,PFC,SMC
1513,Peri,0.3918979503904235,1.8289903070767557e-08,385,12M,HZ12M03,PFC,Peri
1514,Endo,0.2596195920326753,0.0188728974770993,274,12M,HZ12M03,PFC,Endo
1515,Astro-5,0.1405119137760572,6.750616585277382e-06,1082,12M,HZ12M03,PFC,Astro
1516,Micro-2,0.0351292217906662,0.0452095479027711,1231,12M,HZ12M03,PFC,Micro
1517,Olig-2,-0.2060296076166174,0.0339552718529148,158,12M,HZ12M03,PFC,Olig
1518,Olig-3,-0.4241777585868227,0.0444520618761475,66,12M,HZ12M03,PFC,Olig
1519,InN-Sncg,0.1774199471313079,0.0133659715196605,567,12M,HZ12M03,STR,InN
1520,Astro-5,0.1287465091545143,4.033930621367871e-19,4541,12M,HZ12M03,STR,Astro
1521,Peri,0.1069512245651094,0.005211370186726,1679,12M,HZ12M03,STR,Peri
1522,Olig-2,0.0995171948802917,0.044437424294373,596,12M,HZ12M03,STR,Olig
1523,ExN-DEGLU-1,0.0909206713551177,0.0149897509298638,1481,12M,HZ12M03,STR,ExN
1524,ExN-CA2,0.0819135989616885,9.296928172770914e-05,3505,12M,HZ12M03,STR,ExN
1525,InN-Olf,0.0805842737381196,0.0002130039420052,3199,12M,HZ12M03,STR,InN
1526,Astro-1,0.0696475912461747,0.006140702515468,2374,12M,HZ12M03,STR,Astro
1527,Micro-2,0.0667509761079775,2.933370111582507e-06,2360,12M,HZ12M03,STR,Micro
1528,SMC,0.0634552089140261,0.0036499906354798,3221,12M,HZ12M03,STR,SMC
1529,MSN,0.027017295930289,0.0010371706006569,8545,12M,HZ12M03,STR,MSN
1530,Micro-1,1.0406584421455738,0.0002043938854813,109,12M,HZ12M04,BF,Micro
1531,Astro-2,0.7811648022205261,1.0850405262205992e-69,883,12M,HZ12M04,BF,Astro
1532,InN-Lamp5,0.6493306464640768,0.0169501471376585,135,12M,HZ12M04,BF,InN
1533,Astro-5,0.6109418418309426,1.0100760011867281e-115,1686,12M,HZ12M04,BF,Astro
1534,SMC,0.465719892678492,6.076024603825158e-78,1865,12M,HZ12M04,BF,SMC
1535,InN-Sst,0.4604741450791247,0.011876914465494,261,12M,HZ12M04,BF,InN
1536,Micro-4,0.4368289654418883,0.009117849054462,90,12M,HZ12M04,BF,Micro
1537,InN-Calb2,0.374895642040455,2.8015468904007317e-249,4576,12M,HZ12M04,BF,InN
1538,MSN,0.3529357515690302,0.0010633614099322,325,12M,HZ12M04,BF,MSN
1539,InN-Olf,0.2821625269421896,1.654795402415878e-05,721,12M,HZ12M04,BF,InN
1540,OPC-2,0.2718094749227179,2.7757284404130758e-09,848,12M,HZ12M04,BF,OPC
1541,Peri,0.2525228889533831,2.0809696600573647e-13,1294,12M,HZ12M04,BF,Peri
1542,Micro-3,0.2468990075805058,0.0087570298863581,227,12M,HZ12M04,BF,Micro
1543,InN-Erbb4,0.2257213779046726,8.497253229921945e-10,940,12M,HZ12M04,BF,InN
1544,Endo,0.2186931924846679,0.0007453883766518,600,12M,HZ12M04,BF,Endo
1545,Astro-6,0.213210808560722,0.0156323091454929,263,12M,HZ12M04,BF,Astro
1546,ExN-DEGLU-2,0.2049724744206335,2.6512799856821387e-10,1293,12M,HZ12M04,BF,ExN
1547,InN-Sncg,0.1573027488696364,0.0334675127191383,490,12M,HZ12M04,BF,InN
1548,ExN-DEGLU-1,0.1102782144365063,0.0287872551366365,629,12M,HZ12M04,BF,ExN
1549,Micro-2,0.0904566741880544,0.0016632213581626,612,12M,HZ12M04,BF,Micro
1550,ExN-CA1,1.042863299522161,0.0307320952743441,54,12M,HZ12M04,ECT,ExN
1551,SMC,0.9497623194643317,3.559800303357244e-09,171,12M,HZ12M04,ECT,SMC
1552,ExN-DG,0.7079004844485797,0.0062557224836931,138,12M,HZ12M04,ECT,ExN
1553,Astro-5,0.4858916804253628,1.7767410495176943e-09,391,12M,HZ12M04,ECT,Astro
1554,ExN-DEGLU-2,0.3539571391836804,0.0292930738085913,125,12M,HZ12M04,HPF,ExN
1555,SMC,0.2263640893755974,4.6594575307198096e-09,914,12M,HZ12M04,HPF,SMC
1556,Micro-1,0.205527634858385,0.0319063873845952,225,12M,HZ12M04,HPF,Micro
1557,Peri,0.1796798852336762,0.0005239080047833,555,12M,HZ12M04,HPF,Peri
1558,ExN-CA2,0.1582992722220708,3.2627661216642215e-15,2509,12M,HZ12M04,HPF,ExN
1559,ExN-CA1,0.1146291884415722,4.775554307529847e-12,2330,12M,HZ12M04,HPF,ExN
1560,Astro-1,0.0997855312344117,0.0006075006318783,1444,12M,HZ12M04,HPF,Astro
1561,Micro-2,0.0892030281139799,0.0012069520340078,722,12M,HZ12M04,HPF,Micro
1562,ExN-CA3,0.0802026502079871,0.0001247068975865,1602,12M,HZ12M04,HPF,ExN
1563,Astro-6,-0.471125968069788,0.0223327142680293,77,12M,HZ12M04,HPF,Astro
1564,Micro-1,1.071706627465513,9.377850319165524e-07,110,12M,HZ12M04,RS,Micro
1565,ExN-DEGLU-2,0.5131101506604011,0.0022322569888784,102,12M,HZ12M04,RS,ExN
1566,ExN-L6b,0.4630545020132802,0.0473960185572951,44,12M,HZ12M04,RS,ExN
1567,Peri,0.423768287347085,0.0006757119138283,259,12M,HZ12M04,RS,Peri
1568,Olig-4,0.2990447386877262,9.814078801639474e-06,316,12M,HZ12M04,RS,Olig
1569,SMC,0.2513678421350936,8.051823932677926e-08,713,12M,HZ12M04,RS,SMC
1570,Astro-5,0.2256875279135495,3.0517585668017866e-06,677,12M,HZ12M04,RS,Astro
1571,Astro-1,0.1910207082635966,0.0008084503244762,539,12M,HZ12M04,RS,Astro
1572,Micro-2,0.0926453484203644,0.004497558883751,503,12M,HZ12M04,RS,Micro
1573,ExN-Olf,1.2844664837640412,0.0006016365151982,89,12M,HZ12M04,TH,ExN
1574,InN-Olf,0.5753595795334508,3.3174221905673628e-18,608,12M,HZ12M04,TH,InN
1575,MSN,0.5410165991773286,5.175521282975299e-07,418,12M,HZ12M04,TH,MSN
1576,Micro-1,0.5317513353086976,0.0013686903114199,216,12M,HZ12M04,TH,Micro
1577,InN-Sncg,0.5218360311736672,1.0443043258438804e-51,1348,12M,HZ12M04,TH,InN
1578,InN-Erbb4,0.4730740569491253,1.6284966369148512e-41,1194,12M,HZ12M04,TH,InN
1579,SMC,0.4273698646480327,9.814115941599135e-76,2551,12M,HZ12M04,TH,SMC
1580,Endo,0.3429728740355404,8.759852814498354e-08,814,12M,HZ12M04,TH,Endo
1581,ExN-DEGLU-2,0.3206972603198256,1.012429699135426e-36,2116,12M,HZ12M04,TH,ExN
1582,Peri,0.3113835294781472,1.4707747029313969e-19,1494,12M,HZ12M04,TH,Peri
1583,ExN-CA2,0.2813744117024051,0.0012663353884905,543,12M,HZ12M04,TH,ExN
1584,OPC-1,0.2589553902520926,0.0099762465588015,515,12M,HZ12M04,TH,OPC
1585,InN-Sst,0.2537459275960666,0.0209143026401185,319,12M,HZ12M04,TH,InN
1586,ExN-DEGLU-1,0.2423525631633108,4.389178309998665e-114,5474,12M,HZ12M04,TH,ExN
1587,Astro-5,0.2230939769844385,2.430689406825494e-58,4509,12M,HZ12M04,TH,Astro
1588,Olig-3,0.2012978011596633,0.0164524330688502,335,12M,HZ12M04,TH,Olig
1589,Astro-2,0.1870647249713899,1.590127371177565e-07,1434,12M,HZ12M04,TH,Astro
1590,Astro-1,0.1654924910079323,4.182916612244767e-06,1461,12M,HZ12M04,TH,Astro
1591,InN-Calb2,0.1631263750533427,1.0407061710904912e-14,1995,12M,HZ12M04,TH,InN
1592,OPC-2,0.1215364302497631,0.0261722323869156,820,12M,HZ12M04,TH,OPC
1593,Micro-2,0.0332949908417859,0.0227033765057368,2234,12M,HZ12M04,TH,Micro
1594,InN-Olf,0.7404553440803211,4.908368436139678e-06,133,12M,HZ12M05,BF,InN
1595,Astro-2,0.4620739898922784,4.1261484405127655e-09,366,12M,HZ12M05,BF,Astro
1596,OPC-2,0.4057524065293869,0.0071464625941193,212,12M,HZ12M05,BF,OPC
1597,Olig-3,0.3914924323321014,0.0268685396652233,85,12M,HZ12M05,BF,Olig
1598,SMC,0.2573671558348906,2.269882593129001e-28,2478,12M,HZ12M05,BF,SMC
1599,Astro-1,0.2522266371182828,0.0054413957001822,364,12M,HZ12M05,BF,Astro
1600,Astro-5,0.2370232387349688,3.166896142340003e-09,965,12M,HZ12M05,BF,Astro
1601,InN-Sncg,0.2262508439255857,1.7424629033165845e-07,1059,12M,HZ12M05,BF,InN
1602,ExN-DEGLU-1,0.2141980866103536,1.261615488498427e-06,1040,12M,HZ12M05,BF,ExN
1603,Peri,0.2111738482936765,2.3332312092027606e-06,1023,12M,HZ12M05,BF,Peri
1604,ExN-DEGLU-2,0.1857421061347314,9.967084141870016e-05,1076,12M,HZ12M05,BF,ExN
1605,Micro-2,0.1780005023121438,0.0001900792204524,339,12M,HZ12M05,BF,Micro
1606,InN-Erbb4,0.1178552376716119,0.0015461075142923,1055,12M,HZ12M05,BF,InN
1607,InN-Calb2,0.0770230571198032,6.398535007482354e-08,3562,12M,HZ12M05,BF,InN
1608,SMC,0.5033018260690807,8.573417472492897e-11,509,12M,HZ12M05,PFC,SMC
1609,InN-Sst,0.1338646539314316,0.0373161475911729,528,12M,HZ12M05,PFC,InN
1610,ExN-L5-ET,0.1203674716315835,0.0039215045982201,978,12M,HZ12M05,PFC,ExN
1611,Olig-4,-0.1599281084420083,0.0080018290188788,372,12M,HZ12M05,PFC,Olig
1612,Micro-3,-0.2453985508549135,0.0338513613400917,165,12M,HZ12M05,PFC,Micro
1613,ExN-DEGLU-2,-0.5433872439911546,0.0158683504161042,118,12M,HZ12M05,PFC,ExN
1614,ExN-L5-ET,1.7690875128604409,0.0091104947790138,37,12M,HZ12M05,STR,ExN
1615,InN-Vip,1.7411263584616146,0.0119578008645713,76,12M,HZ12M05,STR,InN
1616,ExN-CA3,0.5454045011393174,1.0727823708762214e-06,440,12M,HZ12M05,STR,ExN
1617,InN-Sncg,0.3622375520363132,1.1241634299321584e-08,514,12M,HZ12M05,STR,InN
1618,InN-Erbb4,0.3142857105544464,2.8125636741479247e-06,504,12M,HZ12M05,STR,InN
1619,OPC-1,0.2375815113495092,0.0385899370231443,480,12M,HZ12M05,STR,OPC
1620,InN-Olf,0.1960253533262449,1.4698843411308725e-15,2471,12M,HZ12M05,STR,InN
1621,ExN-CA2,0.1445282946745278,5.294304255067855e-10,2998,12M,HZ12M05,STR,ExN
1622,SMC,0.1409173230554262,6.075902329601513e-05,1880,12M,HZ12M05,STR,SMC
1623,Peri,0.1055495141679023,0.0044281910061436,1389,12M,HZ12M05,STR,Peri
1624,ExN-DEGLU-1,0.1015148854203478,0.0307832352829205,1062,12M,HZ12M05,STR,ExN
1625,InN-Sst,0.0939694310592298,0.0359459644657273,728,12M,HZ12M05,STR,InN
1626,Endo,0.0800907691183951,0.0104293661627125,1931,12M,HZ12M05,STR,Endo
1627,Micro-2,0.078579827030182,1.3130003685529389e-08,2421,12M,HZ12M05,STR,Micro
1628,Astro-5,0.0629062679744081,2.5487160816735374e-06,4873,12M,HZ12M05,STR,Astro
1629,MSN,0.0590753116014109,2.0301428786332924e-12,8255,12M,HZ12M05,STR,MSN
1630,Astro-4,0.4759814121098829,3.485990340396538e-05,231,12M,HZ12M06,BF,Astro
1631,Peri,0.4573693270775488,1.6607846063783958e-72,2013,12M,HZ12M06,BF,Peri
1632,SMC,0.4423156877835643,1.2249115714441332e-172,3684,12M,HZ12M06,BF,SMC
1633,Astro-2,0.3347212770035491,1.4067804945924846e-07,587,12M,HZ12M06,BF,Astro
1634,ExN-DEGLU-1,0.2655973953373889,4.255753011866599e-08,626,12M,HZ12M06,BF,ExN
1635,Endo,0.2578403594359834,7.27175002736401e-05,707,12M,HZ12M06,BF,Endo
1636,Astro-5,0.2559106602795697,4.6486126305204734e-35,2402,12M,HZ12M06,BF,Astro
1637,OPC-2,0.2217766037612593,0.0005242063138702,654,12M,HZ12M06,BF,OPC
1638,Astro-6,0.2114853558807334,0.0453429965547719,212,12M,HZ12M06,BF,Astro
1639,InN-Calb2,0.2031804734945047,1.4143048424766148e-55,3837,12M,HZ12M06,BF,InN
1640,InN-Sncg,0.1988343643698462,8.369138981109967e-06,900,12M,HZ12M06,BF,InN
1641,InN-Erbb4,0.1845633653115277,2.794074719777165e-09,1125,12M,HZ12M06,BF,InN
1642,ExN-DEGLU-2,0.1716086380930533,8.574293474411509e-09,1469,12M,HZ12M06,BF,ExN
1643,InN-Pvalb,0.1667712756431042,0.0094175762709349,413,12M,HZ12M06,BF,InN
1644,Olig-4,0.1661663753710108,6.373314345778253e-05,863,12M,HZ12M06,BF,Olig
1645,Astro-1,0.1297714512518028,3.394073152111841e-05,1377,12M,HZ12M06,BF,Astro
1646,Micro-2,0.0520473723434553,0.0032893592589904,1486,12M,HZ12M06,BF,Micro
1647,Astro-3,3.0010919448626043,0.0012927755352495,19,12M,HZ12M06,ECT,Astro
1648,SMC,0.529573355981795,4.005219115943275e-05,153,12M,HZ12M06,ECT,SMC
1649,Astro-5,0.3971596861106549,8.364973285581896e-08,415,12M,HZ12M06,ECT,Astro
1650,ExN-Olf,1.0436463309039594,1.2145644884382723e-06,109,12M,HZ12M06,HPF,ExN
1651,Peri,0.8297590113618643,1.3504874853565979e-34,379,12M,HZ12M06,HPF,Peri
1652,SMC,0.705424447583403,1.7609131970505837e-21,327,12M,HZ12M06,HPF,SMC
1653,Astro-4,0.5095410744046546,0.0001462791250394,149,12M,HZ12M06,HPF,Astro
1654,Astro-5,0.2486465878109951,4.2840500133119496e-11,1073,12M,HZ12M06,HPF,Astro
1655,InN-Sst,0.2177671007780089,0.0489368631636676,130,12M,HZ12M06,HPF,InN
1656,ExN-DG,0.0871500957450031,9.181185296492905e-16,4046,12M,HZ12M06,HPF,ExN
1657,ExN-CA2,0.0775641834221713,6.8302937204459295e-06,3063,12M,HZ12M06,HPF,ExN
1658,ExN-CA3,0.0508885673407547,0.0161794266139888,1627,12M,HZ12M06,HPF,ExN
1659,OPC-1,-1.075194401359645,0.0006898272880937,102,12M,HZ12M06,HPF,OPC
1660,Olig-3,0.3664871492617345,0.0026070255242752,148,12M,HZ12M06,RS,Olig
1661,Astro-4,0.3030034263955479,0.049625170673607,156,12M,HZ12M06,RS,Astro
1662,ExN-CA2,0.2577096987501123,0.0053235554412369,376,12M,HZ12M06,RS,ExN
1663,InN-Olf,-0.8570336167219642,0.0365034018583714,71,12M,HZ12M06,RS,InN
1664,InN-Lamp5,1.8137417982365045,3.8806312313871536e-05,105,12M,HZ12M06,TH,InN
1665,ExN-CA2,0.919641555866308,2.814932971727505e-60,939,12M,HZ12M06,TH,ExN
1666,MSN,0.7133171191653438,2.8991883886239983e-08,367,12M,HZ12M06,TH,MSN
1667,InN-Olf,0.6846247801557751,1.6105115206342743e-08,400,12M,HZ12M06,TH,InN
1668,InN-Erbb4,0.6019929784140731,4.360624487655293e-47,1231,12M,HZ12M06,TH,InN
1669,InN-Sncg,0.5119148601200281,6.089851039274035e-64,1494,12M,HZ12M06,TH,InN
1670,ExN-CA3,0.456272568797839,0.0121214110331108,234,12M,HZ12M06,TH,ExN
1671,Peri,0.3111254205101462,2.8758232945084494e-22,1660,12M,HZ12M06,TH,Peri
1672,InN-Calb2,0.3042571047941458,1.2636112623822932e-13,984,12M,HZ12M06,TH,InN
1673,Micro-1,0.2874820244155127,0.0311092434876998,309,12M,HZ12M06,TH,Micro
1674,ExN-DEGLU-2,0.2661115249264609,1.316765044028185e-26,1973,12M,HZ12M06,TH,ExN
1675,OPC-2,0.2568115780481156,2.237037937806802e-07,983,12M,HZ12M06,TH,OPC
1676,Endo,0.2204292762644899,7.083693279025981e-07,1165,12M,HZ12M06,TH,Endo
1677,Astro-6,0.2130507817052596,0.000516431399368,559,12M,HZ12M06,TH,Astro
1678,Astro-1,0.1954603039970861,2.9437482662399716e-14,2184,12M,HZ12M06,TH,Astro
1679,ExN-DEGLU-1,0.1879471156751991,4.437268465546308e-82,6284,12M,HZ12M06,TH,ExN
1680,Astro-2,0.1850181559876071,6.074088100303419e-09,1659,12M,HZ12M06,TH,Astro
1681,Astro-5,0.1647680385411112,4.534384567562359e-30,4572,12M,HZ12M06,TH,Astro
1682,Micro-3,0.1542851258002017,0.0107033042416978,502,12M,HZ12M06,TH,Micro
1683,SMC,0.1417416825319362,0.0005640467202925,1279,12M,HZ12M06,TH,SMC
1684,Micro-2,0.0336791241308873,0.0178907625098939,2424,12M,HZ12M06,TH,Micro
