,celltype,Moran's I,P-value,num_cell,month,sample,structure
763,Olig,0.7808946637712118,3.219828006500618e-210,2169,8M,HZ8M04,BF
764,OPC,0.3934557978873306,2.900250566300271e-05,459,8M,HZ8M04,BF
765,SMC,0.2802845170833596,2.082746108498985e-38,2405,8M,HZ8M04,BF
766,Astro,0.2470696242703133,9.137597645199742e-14,1080,8M,HZ8M04,BF
767,Peri,0.216867106165907,1.0859262471506533e-18,2648,8M,HZ8M04,BF
768,ExN,0.1804921211725919,4.5302758929475816e-08,1711,8M,HZ8M04,BF
769,InN,0.1681561870930467,1.879343147107489e-53,6269,8M,HZ8M04,BF
770,SMC,0.4609390627329889,7.799662860858865e-10,342,8M,HZ8M04,ECT
771,Micro,0.3643488917117715,1.2917086920523382e-14,434,8M,HZ8M04,ECT
772,Astro,0.2871312110032107,0.0062458680932781,314,8M,HZ8M04,ECT
773,InN,0.2239274710385944,0.0032359009612864,588,8M,HZ8M04,ECT
774,ExN,0.181394448994591,2.1196728504482126e-17,2140,8M,HZ8M04,ECT
775,Olig,0.2342770588747957,1.0920489818638579e-07,838,8M,HZ8M04,HPF
776,InN,0.1870146057295338,0.0028772755485873,548,8M,HZ8M04,HPF
777,SMC,0.1601259512732321,1.601993765894027e-07,1265,8M,HZ8M04,HPF
778,Astro,0.1380704612080395,3.408181439972035e-06,1522,8M,HZ8M04,HPF
779,ExN,0.0906278990402139,1.4320242426921744e-40,9991,8M,HZ8M04,HPF
780,SMC,0.2718980750644058,1.2245561304202517e-13,977,8M,HZ8M04,RS
781,Peri,0.2462236172423113,0.0007984733155561,544,8M,HZ8M04,RS
782,Astro,0.2151518634174011,0.0003050410766218,516,8M,HZ8M04,RS
783,ExN,0.1251523234552308,8.203896609539732e-14,3084,8M,HZ8M04,RS
784,Micro,0.0773912027311871,0.0061574253136478,860,8M,HZ8M04,RS
785,ExN,0.4103385560902211,0.0,9770,8M,HZ8M04,TH
786,SMC,0.330430774494237,2.7703227543637885e-51,2162,8M,HZ8M04,TH
787,InN,0.2585253065639949,2.8812978983583145e-36,2573,8M,HZ8M04,TH
788,Peri,0.2130768202513983,3.655047405952072e-27,3030,8M,HZ8M04,TH
789,Astro,0.1357857439391869,1.5017504985086254e-18,3458,8M,HZ8M04,TH
790,Micro,0.1163712269855102,1.8882379184563847e-20,3528,8M,HZ8M04,TH
791,Olig,0.1040330128934795,7.547030050231805e-10,3467,8M,HZ8M04,TH
792,InN,0.2241329525599533,3.2301019316751695e-92,5218,8M,HZ8M05,BF
793,Micro,0.1426358325567295,2.113447900081087e-05,919,8M,HZ8M05,BF
794,ExN,0.1203321583149286,1.2140503463652136e-10,2644,8M,HZ8M05,BF
795,Peri,0.0879609193240947,0.0014269137722809,1695,8M,HZ8M05,BF
796,Olig,0.0877913379520918,0.0163521262922989,1038,8M,HZ8M05,BF
797,SMC,0.0798249938052356,0.0005357105355191,1904,8M,HZ8M05,BF
798,Astro,0.071382756940389,0.0059490136555318,1402,8M,HZ8M05,BF
799,SMC,0.1079484799060867,0.006118596001417,1061,8M,HZ8M05,PFC
800,Astro,0.0884886897136216,0.0321142828248645,657,8M,HZ8M05,PFC
801,Micro,0.0864942923883693,1.2758612663512962e-05,1462,8M,HZ8M05,PFC
802,ExN,0.0723468147380739,5.98691254650344e-20,8444,8M,HZ8M05,PFC
803,Endo,0.6271519199368216,7.092578606639082e-38,1124,8M,HZ8M05,STR
804,OPC,0.4253925754719012,9.211065092994776e-07,574,8M,HZ8M05,STR
805,Astro,0.2271454438600627,4.120502112047921e-43,3211,8M,HZ8M05,STR
806,Olig,0.2062320597416632,3.570393526777001e-79,5457,8M,HZ8M05,STR
807,Peri,0.1921481812077519,5.167366141642858e-15,2808,8M,HZ8M05,STR
808,Micro,0.1599840145781884,7.812962541216011e-29,3335,8M,HZ8M05,STR
809,InN,0.1478737852316694,7.878199922634363e-29,5399,8M,HZ8M05,STR
810,ExN,0.0739027114769666,1.127062069978486e-10,7106,8M,HZ8M05,STR
811,SMC,0.0485962821675551,0.0001390809972032,5752,8M,HZ8M05,STR
812,MSN,0.023501690924826,0.0025895949996858,8934,8M,HZ8M05,STR
813,Micro,0.4273718596673355,4.575699496721009e-82,1360,8M,HZ8M06,BF
814,Astro,0.4129880349553648,7.370827131507158e-66,1521,8M,HZ8M06,BF
815,Peri,0.3800373909425646,4.129432780810858e-75,3042,8M,HZ8M06,BF
816,ExN,0.3518677821476899,2.8224825217505028e-42,2131,8M,HZ8M06,BF
817,SMC,0.3365591477194894,2.3632630068824298e-48,2296,8M,HZ8M06,BF
818,OPC,0.3179910405924717,2.6340472901769016e-05,621,8M,HZ8M06,BF
819,InN,0.2384194754146207,7.497407507764394e-178,8408,8M,HZ8M06,BF
820,Olig,0.2059600067446942,5.337786896488917e-18,2086,8M,HZ8M06,BF
821,SMC,0.4313299583116932,7.065326712853021e-11,380,8M,HZ8M06,ECT
822,Peri,0.2959555540799984,0.0130283675087159,224,8M,HZ8M06,ECT
823,Astro,0.2160664476902151,0.0034841752776546,404,8M,HZ8M06,ECT
824,Micro,0.1049164478500363,0.009177156413228,434,8M,HZ8M06,ECT
825,ExN,0.1024693125405905,1.6547303430883933e-08,2514,8M,HZ8M06,ECT
826,SMC,0.4243842668734252,3.5023380419627996e-58,1463,8M,HZ8M06,HPF
827,Astro,0.2622513783606163,3.1090830069983614e-19,1489,8M,HZ8M06,HPF
828,Micro,0.2138357885577873,2.0358572839849605e-30,1443,8M,HZ8M06,HPF
829,ExN,0.1656889562091727,5.0943731614037626e-136,9765,8M,HZ8M06,HPF
830,Olig,0.1176452813951157,0.0078542490255503,879,8M,HZ8M06,HPF
831,SMC,0.4106043050167955,2.0093876627244238e-41,1124,8M,HZ8M06,RS
832,ExN,0.3524621883562545,1.163689020562999e-130,3543,8M,HZ8M06,RS
833,Astro,0.2839157334647622,1.883106093442924e-07,517,8M,HZ8M06,RS
834,Olig,0.2120404440062613,6.340603069718949e-07,608,8M,HZ8M06,RS
835,Micro,0.1522280469955082,4.006457255462205e-08,761,8M,HZ8M06,RS
836,InN,0.1384292259563332,1.886867741484463e-05,1494,8M,HZ8M06,RS
837,MSN,0.8834497084697263,0.000511660221782,185,8M,HZ8M06,TH
838,InN,0.3417022353147954,8.734065923284535e-42,2057,8M,HZ8M06,TH
839,ExN,0.3348943196747813,0.0,8919,8M,HZ8M06,TH
840,SMC,0.3130024223481353,8.49983343158918e-43,2228,8M,HZ8M06,TH
841,Peri,0.2799244500819303,5.490230200687599e-38,2688,8M,HZ8M06,TH
842,OPC,0.2042443655605431,0.0116548975667534,574,8M,HZ8M06,TH
843,Olig,0.1686594561774171,1.1227286750936425e-23,3208,8M,HZ8M06,TH
844,Astro,0.1466090179441723,2.411943599513585e-14,2241,8M,HZ8M06,TH
845,Micro,0.0752043619637482,1.6729045012510327e-10,3441,8M,HZ8M06,TH
846,InN,0.5703061711538587,0.0,5511,12M,HZ12M01,BF
847,SMC,0.3769957388983576,7.666102437551165e-90,2929,12M,HZ12M01,BF
848,Astro,0.2793274903574408,6.0947720611726115e-24,1434,12M,HZ12M01,BF
849,ExN,0.2475924801558771,3.4778368456428546e-12,1366,12M,HZ12M01,BF
850,Peri,0.2291076070068621,3.157435290349857e-06,771,12M,HZ12M01,BF
851,Micro,0.1890105712273841,0.0004485412722223,372,12M,HZ12M01,BF
852,SMC,0.5998101564209429,2.6072361798568972e-14,457,12M,HZ12M01,PFC
853,Peri,0.3816621466014689,0.0167211615663974,174,12M,HZ12M01,PFC
854,Astro,0.263625753842344,1.0157281711810552e-36,2071,12M,HZ12M01,PFC
855,Micro,0.2123957838992394,4.335175087931743e-18,1074,12M,HZ12M01,PFC
856,InN,0.1715733282250663,0.0009944595885307,833,12M,HZ12M01,PFC
857,Olig,0.1397179556670848,0.0006014122017746,636,12M,HZ12M01,PFC
858,ExN,0.1171926326806001,1.1849786161943584e-36,7086,12M,HZ12M01,PFC
859,Peri,0.1473830764211456,0.0003549712973643,1514,12M,HZ12M01,STR
860,SMC,0.0828999316941331,0.0080961840727301,1963,12M,HZ12M01,STR
861,Endo,0.0705765363947462,0.0233304076387295,2081,12M,HZ12M01,STR
862,Astro,0.0562153139183846,7.171041558713091e-09,7277,12M,HZ12M01,STR
863,Micro,0.0450710011917424,0.0034162938471703,2570,12M,HZ12M01,STR
864,ExN,0.0414497204656777,0.0004088561933788,6560,12M,HZ12M01,STR
865,Olig,0.0408938110375978,0.0123038214058014,3256,12M,HZ12M01,STR
866,MSN,0.0290703967968442,0.0017119654484077,6825,12M,HZ12M01,STR
867,InN,0.4505766807693299,0.0,7943,12M,HZ12M02,BF
868,Astro,0.4035497319750208,1.0661688515776823e-200,3946,12M,HZ12M02,BF
869,SMC,0.3345623323239046,2.7640833810538375e-76,2889,12M,HZ12M02,BF
870,Peri,0.3277979710543635,5.871672886413162e-35,1914,12M,HZ12M02,BF
871,ExN,0.2752101199711751,1.7025560811863585e-43,2709,12M,HZ12M02,BF
872,Endo,0.2698296705641638,0.0031344183963472,491,12M,HZ12M02,BF
873,Micro,0.236499428619593,2.8725073228365084e-23,1308,12M,HZ12M02,BF
874,OPC,0.1573674780997403,0.0012117368989047,844,12M,HZ12M02,BF
875,ExN,0.0461982440127919,0.0059452326644718,2497,12M,HZ12M02,ECT
876,InN,0.139489313959428,0.0005393305483418,828,12M,HZ12M02,HPF
877,Astro,0.0862100052455635,1.6478758500492504e-10,3687,12M,HZ12M02,HPF
878,ExN,0.0861686000801933,1.7076199497351513e-63,13003,12M,HZ12M02,HPF
879,Micro,0.0490821301239878,0.0309410213125798,1314,12M,HZ12M02,HPF
880,SMC,0.2487332361072271,8.685068921069323e-05,461,12M,HZ12M02,RS
881,Peri,0.2394109036565432,0.0039982659177939,348,12M,HZ12M02,RS
882,Olig,0.197370977000737,8.419567693385013e-11,852,12M,HZ12M02,RS
883,Astro,0.1651646167309454,2.228831864023565e-09,1349,12M,HZ12M02,RS
884,Micro,0.1554044429998895,6.120796359531001e-06,606,12M,HZ12M02,RS
885,ExN,0.0726354068461173,2.346534217838869e-07,3607,12M,HZ12M02,RS
886,MSN,0.8402888862069163,5.330456180011624e-23,621,12M,HZ12M02,TH
887,InN,0.5312692758937555,0.0,5268,12M,HZ12M02,TH
888,Peri,0.4369032675684879,2.611340418137705e-43,1818,12M,HZ12M02,TH
889,SMC,0.4003920268025207,2.806752387386293e-49,2032,12M,HZ12M02,TH
890,ExN,0.3608756161947469,0.0,9715,12M,HZ12M02,TH
891,Endo,0.2400218868580191,8.633014372355383e-05,877,12M,HZ12M02,TH
892,Astro,0.2064960543904149,2.1701238481547403e-162,9607,12M,HZ12M02,TH
893,Micro,0.1281463501925894,3.111801538237431e-22,3481,12M,HZ12M02,TH
894,OPC,0.1272699996318957,0.0057475998564317,1283,12M,HZ12M02,TH
895,Olig,0.0518036510268512,0.0007487701336848,3303,12M,HZ12M02,TH
896,InN,0.1611359885615667,5.798636874141626e-63,5662,12M,HZ12M03,BF
897,ExN,0.1217530510117875,7.290323401841814e-11,2716,12M,HZ12M03,BF
898,SMC,0.1039392568110442,0.0010522821839763,1326,12M,HZ12M03,BF
899,Peri,0.1026684686063171,0.0050016185243176,1091,12M,HZ12M03,BF
900,Micro,0.0965914778693562,0.0019148775932631,788,12M,HZ12M03,BF
901,Astro,0.0946862658367578,1.1992318502835064e-08,2603,12M,HZ12M03,BF
902,SMC,0.4154617124340232,1.1405149828412279e-32,1113,12M,HZ12M03,PFC
903,Peri,0.3918979503904235,1.8289903070767557e-08,385,12M,HZ12M03,PFC
904,OPC,0.3121661678212227,0.0159283130338706,213,12M,HZ12M03,PFC
905,Endo,0.2596195920326753,0.0188728974770993,274,12M,HZ12M03,PFC
906,Astro,0.1369480742222033,4.967734876993967e-13,2149,12M,HZ12M03,PFC
907,ExN,0.0902467886879494,2.327475392790355e-36,9102,12M,HZ12M03,PFC
908,Micro,0.0535239497192452,0.0016114048515547,1475,12M,HZ12M03,PFC
909,Peri,0.1069512245651094,0.005211370186726,1679,12M,HZ12M03,STR
910,InN,0.1055462908666349,2.1795172221108742e-16,5820,12M,HZ12M03,STR
911,Astro,0.0957508586407192,3.515443298195369e-31,9209,12M,HZ12M03,STR
912,SMC,0.0634552089140261,0.0036499906354798,3221,12M,HZ12M03,STR
913,ExN,0.0629982765056182,1.8905757107132933e-11,9033,12M,HZ12M03,STR
914,Micro,0.0489899768745135,7.188932152784237e-05,3548,12M,HZ12M03,STR
915,Olig,0.0472437897987741,0.0004902524792763,3636,12M,HZ12M03,STR
916,MSN,0.027017295930289,0.0010371706006569,8545,12M,HZ12M03,STR
917,Astro,0.5234364819980255,0.0,3776,12M,HZ12M04,BF
918,SMC,0.465719892678492,6.076024603825158e-78,1865,12M,HZ12M04,BF
919,InN,0.4215156645179899,0.0,7444,12M,HZ12M04,BF
920,MSN,0.3529357515690302,0.0010633614099322,325,12M,HZ12M04,BF
921,OPC,0.2988626500204198,3.840556165433343e-15,1176,12M,HZ12M04,BF
922,Micro,0.2694793121964764,7.883701236280762e-26,1038,12M,HZ12M04,BF
923,Peri,0.2525228889533831,2.0809696600573647e-13,1294,12M,HZ12M04,BF
924,ExN,0.248153798878729,3.3001932569138446e-35,2433,12M,HZ12M04,BF
925,Endo,0.2186931924846679,0.0007453883766518,600,12M,HZ12M04,BF
926,Olig,0.0706506262933092,0.0142880789018905,1177,12M,HZ12M04,BF
927,SMC,0.9497623194643317,3.559800303357244e-09,171,12M,HZ12M04,ECT
928,Astro,0.320773415591415,1.0350815833462005e-13,857,12M,HZ12M04,ECT
929,InN,0.1292128885406615,0.004604294106391,1056,12M,HZ12M04,ECT
930,ExN,0.0788397118659318,8.724865933266921e-06,2733,12M,HZ12M04,ECT
931,SMC,0.2263640893755974,4.6594575307198096e-09,914,12M,HZ12M04,HPF
932,Peri,0.1796798852336762,0.0005239080047833,555,12M,HZ12M04,HPF
933,ExN,0.1610337375555981,1.6591606163550116e-166,11306,12M,HZ12M04,HPF
934,Micro,0.1390198610582013,2.9281881428482504e-10,1179,12M,HZ12M04,HPF
935,Astro,0.0669674852696316,1.6608627826013802e-06,3770,12M,HZ12M04,HPF
936,Peri,0.423768287347085,0.0006757119138283,259,12M,HZ12M04,RS
937,SMC,0.2513678421350936,8.051823932677926e-08,713,12M,HZ12M04,RS
938,Olig,0.2197151955592765,3.232041202193847e-20,1086,12M,HZ12M04,RS
939,Astro,0.1830800243639597,3.468277559433555e-12,1466,12M,HZ12M04,RS
940,Micro,0.1446551592307276,6.536914669737074e-07,743,12M,HZ12M04,RS
941,ExN,0.1401291305501909,9.009223545547396e-23,3547,12M,HZ12M04,RS
942,MSN,0.5410165991773286,5.175521282975299e-07,418,12M,HZ12M04,TH
943,SMC,0.4273698646480327,9.814115941599135e-76,2551,12M,HZ12M04,TH
944,ExN,0.4242595223216734,0.0,8946,12M,HZ12M04,TH
945,InN,0.3584908018270244,4.924376051705663e-274,5902,12M,HZ12M04,TH
946,Endo,0.3429728740355404,8.759852814498354e-08,814,12M,HZ12M04,TH
947,Peri,0.3113835294781472,1.4707747029313969e-19,1494,12M,HZ12M04,TH
948,Astro,0.2234646845655116,4.602084762794573e-167,8542,12M,HZ12M04,TH
949,OPC,0.2179804568897242,1.8432243846912555e-07,1335,12M,HZ12M04,TH
950,Micro,0.0782802953284165,4.6329542513320126e-09,2987,12M,HZ12M04,TH
951,OPC,0.4059051746515909,0.0006842156771737,374,12M,HZ12M05,BF
952,InN,0.3480279392435629,1.4439349120851375e-249,6415,12M,HZ12M05,BF
953,SMC,0.2573671558348906,2.269882593129001e-28,2478,12M,HZ12M05,BF
954,ExN,0.2482850555808915,3.20147814144727e-22,2279,12M,HZ12M05,BF
955,Astro,0.2316877016478278,2.319677421636397e-23,1870,12M,HZ12M05,BF
956,Peri,0.2111738482936765,2.3332312092027606e-06,1023,12M,HZ12M05,BF
957,Micro,0.1956232814584506,6.846422682333677e-07,519,12M,HZ12M05,BF
958,Olig,0.1239701478213655,0.0395441798149021,518,12M,HZ12M05,BF
959,SMC,0.5033018260690807,8.573417472492897e-11,509,12M,HZ12M05,PFC
960,InN,0.0848666242657955,0.0035651871772952,1757,12M,HZ12M05,PFC
961,ExN,0.0456590088790107,1.9378979357361312e-11,9690,12M,HZ12M05,PFC
962,Micro,0.02861748186602,0.0449812697125779,2273,12M,HZ12M05,PFC
963,InN,0.1954494837236421,1.962345796850744e-43,4797,12M,HZ12M05,STR
964,SMC,0.1409173230554262,6.075902329601513e-05,1880,12M,HZ12M05,STR
965,Peri,0.1055495141679023,0.0044281910061436,1389,12M,HZ12M05,STR
966,ExN,0.1001777076454022,1.1181736151285177e-21,7713,12M,HZ12M05,STR
967,Endo,0.0800907691183951,0.0104293661627125,1931,12M,HZ12M05,STR
968,Astro,0.0666794231939495,7.373025199163645e-16,9146,12M,HZ12M05,STR
969,MSN,0.0590753116014109,2.0301428786332924e-12,8255,12M,HZ12M05,STR
970,Micro,0.0518276873878745,3.131044844110648e-05,3360,12M,HZ12M05,STR
971,Peri,0.4573693270775488,1.6607846063783958e-72,2013,12M,HZ12M06,BF
972,SMC,0.4423156877835643,1.2249115714441332e-172,3684,12M,HZ12M06,BF
973,InN,0.3069386609024518,5.534702250465475e-269,6943,12M,HZ12M06,BF
974,Astro,0.266887853508682,1.9318893070535372e-116,4887,12M,HZ12M06,BF
975,Endo,0.2578403594359834,7.27175002736401e-05,707,12M,HZ12M06,BF
976,OPC,0.2248700314703531,3.197148923546676e-05,863,12M,HZ12M06,BF
977,ExN,0.2213068060976763,2.6789275318072177e-27,2524,12M,HZ12M06,BF
978,Olig,0.0940065895858385,4.2557555844273466e-06,2163,12M,HZ12M06,BF
979,Micro,0.0552355219541215,0.0004942948640203,2016,12M,HZ12M06,BF
980,SMC,0.529573355981795,4.005219115943275e-05,153,12M,HZ12M06,ECT
981,Astro,0.2540501563770501,6.757303904969549e-09,794,12M,HZ12M06,ECT
982,Micro,0.1120827727711922,1.4088602272876582e-05,765,12M,HZ12M06,ECT
983,ExN,0.0359860149913391,0.0370946116418721,2404,12M,HZ12M06,ECT
984,Peri,0.8297590113618643,1.3504874853565979e-34,379,12M,HZ12M06,HPF
985,SMC,0.705424447583403,1.7609131970505837e-21,327,12M,HZ12M06,HPF
986,Olig,0.3227046073731196,1.6056576655373027e-09,481,12M,HZ12M06,HPF
987,Astro,0.1365885883686354,2.5940176356595376e-18,2947,12M,HZ12M06,HPF
988,Micro,0.1139150045375742,8.304125638417212e-06,943,12M,HZ12M06,HPF
989,ExN,0.0999578166101201,3.958437941524624e-63,10836,12M,HZ12M06,HPF
990,Olig,0.1386129559534885,9.79891424948642e-08,1042,12M,HZ12M06,RS
991,ExN,0.1320410969859593,4.846980749892325e-26,3671,12M,HZ12M06,RS
992,Astro,0.0495105279961528,0.0334733481171451,1564,12M,HZ12M06,RS
993,MSN,0.7133171191653438,2.8991883886239983e-08,367,12M,HZ12M06,TH
994,InN,0.4482704113060458,1.431640832920687e-248,4635,12M,HZ12M06,TH
995,ExN,0.4229182843396804,0.0,10388,12M,HZ12M06,TH
996,Peri,0.3111254205101462,2.8758232945084494e-22,1660,12M,HZ12M06,TH
997,Endo,0.2204292762644899,7.083693279025981e-07,1165,12M,HZ12M06,TH
998,Astro,0.1945715867286284,1.833919170895383e-149,9898,12M,HZ12M06,TH
999,OPC,0.1911147731595179,2.621112341244161e-06,1370,12M,HZ12M06,TH
1000,SMC,0.1417416825319362,0.0005640467202925,1279,12M,HZ12M06,TH
1001,Micro,0.1196192100127527,7.648388321745267e-21,3426,12M,HZ12M06,TH
1002,Olig,0.0653362914526252,2.449632566489269e-05,3259,12M,HZ12M06,TH
