fine,Moran's I,P-value,num_cell,sample,region_abb,fullid
InN-Lamp5,-0.07419597671722872,0.8097308192178609,15,HZ12M02,RS,HZ12M02_coorect_RS
InN-Olf,0.043448990730678705,0.0,523,HZ12M02,TH,HZ12M02_coorect_TH
InN-Sncg,0.017107595383844716,0.0,1931,HZ12M02,TH,HZ12M02_coorect_TH
InN-Erbb4,0.014458922492824246,0.0,1166,HZ12M02,TH,HZ12M02_coorect_TH
InN-Calb2,0.00886549012428865,0.0,1074,HZ12M02,TH,HZ12M02_coorect_TH
InN-Sst,-0.000378043390535789,3.029673443694287e-06,250,HZ12M02,TH,HZ12M02_coorect_TH
InN-Pvalb,-0.0004181395783397284,1.2656847417174172e-06,208,HZ12M02,TH,HZ12M02_coorect_TH
InN-Vip,-0.00974470727759333,0.009399103655788103,58,HZ12M02,TH,HZ12M02_coorect_TH
InN-Lamp5,-0.015492552677553603,0.4833817180015636,58,HZ12M02,TH,HZ12M02_coorect_TH
InN-Calb2,0.001954391989133663,0.0,3814,HZ12M03,BF,HZ12M03_coorect_BF
InN-Sncg,0.001072029380617289,4.402187125656088e-22,640,HZ12M03,BF,HZ12M03_coorect_BF
InN-Erbb4,-0.0005350229003889332,0.0026282153547833704,769,HZ12M03,BF,HZ12M03_coorect_BF
InN-Sst,-0.0049443822684207455,0.968347430827916,205,HZ12M03,BF,HZ12M03_coorect_BF
InN-Lamp5,-0.01258347107918849,0.15950492182347364,58,HZ12M03,BF,HZ12M03_coorect_BF
InN-Pvalb,-0.014320954841781764,0.9876084757539618,71,HZ12M03,BF,HZ12M03_coorect_BF
InN-Olf,-0.014650641827911714,0.9097884794654366,71,HZ12M03,BF,HZ12M03_coorect_BF
InN-Vip,-0.023975923491124315,0.42069281458604624,34,HZ12M03,BF,HZ12M03_coorect_BF
InN-Sncg,-0.0006076927282620249,8.255697729087819e-05,561,HZ12M03,PFC,HZ12M03_coorect_PFC
InN-Pvalb,-0.0009457852307906327,2.822016455768284e-05,367,HZ12M03,PFC,HZ12M03_coorect_PFC
InN-Sst,-0.0013290117699088246,0.11915311866687486,554,HZ12M03,PFC,HZ12M03_coorect_PFC
InN-Erbb4,-0.001971069232470098,0.011636799697613028,289,HZ12M03,PFC,HZ12M03_coorect_PFC
