fine,Moran's I,P-value,num_cell,sample,region_abb,fullid
InN-Calb2,0.00016382981705778994,1.019241821257794e-08,637,HZ2M03,STR,HZ2M03_coorect_STR
InN-Erbb4,-0.0044729027808089695,0.015131690449682326,109,HZ2M03,STR,HZ2M03_coorect_STR
InN-Sncg,-0.010787314351979063,0.44597358385232355,78,HZ2M03,STR,HZ2M03_coorect_STR
InN-Lamp5,-0.021090303683620124,0.6554300414615432,45,HZ2M03,STR,HZ2M03_coorect_STR
InN-Vip,-0.05306425328732273,0.6203487824270684,18,HZ2M03,STR,HZ2M03_coorect_STR
InN-Calb2,0.0068995853803079914,0.0,4389,HZ2M04,BF,HZ2M04_coorect_BF
InN-Erbb4,-0.000127480544689301,7.261994084696262e-08,111,HZ2M04,BF,HZ2M04_coorect_BF
InN-Olf,-0.0026635782420528784,0.0002632823285717691,97,HZ2M04,BF,HZ2M04_coorect_BF
InN-Pvalb,-0.005169017826501484,0.4723480344025449,166,HZ2M04,BF,HZ2M04_coorect_BF
InN-Sst,-0.01469467913295344,0.9359739348943802,70,HZ2M04,BF,HZ2M04_coorect_BF
InN-Sncg,-0.022763075533453105,0.20037231332255734,35,HZ2M04,BF,HZ2M04_coorect_BF
InN-Sst,-0.005472827827444051,0.26125018572811975,145,HZ2M04,ECT,HZ2M04_coorect_ECT
InN-Erbb4,-0.008673975622363505,0.9268027475660549,114,HZ2M04,ECT,HZ2M04_coorect_ECT
InN-Sncg,-0.02555157724111948,0.6957754227876589,44,HZ2M04,ECT,HZ2M04_coorect_ECT
InN-Vip,-0.02938101771807764,0.04781086956569012,23,HZ2M04,ECT,HZ2M04_coorect_ECT
InN-Olf,-0.050558078718493056,0.23278491911813814,16,HZ2M04,ECT,HZ2M04_coorect_ECT
InN-Pvalb,-0.07500638615388644,0.5343853420726035,13,HZ2M04,ECT,HZ2M04_coorect_ECT
InN-Sst,-0.0027397252760657195,0.0317474571753602,188,HZ2M04,HPF,HZ2M04_coorect_HPF
InN-Sncg,-0.003084951830399562,0.11518774195475825,218,HZ2M04,HPF,HZ2M04_coorect_HPF
InN-Pvalb,-0.009285629649094625,0.8942604123875044,112,HZ2M04,HPF,HZ2M04_coorect_HPF
InN-Olf,-0.011461912200956556,0.582956282843045,76,HZ2M04,HPF,HZ2M04_coorect_HPF
InN-Erbb4,-0.024202904929389733,0.41202289948490556,35,HZ2M04,HPF,HZ2M04_coorect_HPF
InN-Lamp5,-0.03884339075329136,0.6452238108633213,29,HZ2M04,HPF,HZ2M04_coorect_HPF
InN-Calb2,-0.09541429538726257,0.8823219645023195,11,HZ2M04,HPF,HZ2M04_coorect_HPF
InN-Vip,-0.09727658947773309,0.9083641972209634,11,HZ2M04,HPF,HZ2M04_coorect_HPF
InN-Lamp5,0.014622411018717769,3.0972706798274637e-15,86,HZ2M04,RS,HZ2M04_coorect_RS
InN-Pvalb,0.0005534140179867558,2.2791125259661006e-19,1046,HZ2M04,RS,HZ2M04_coorect_RS
InN-Sst,-0.00023571569241616661,1.3092058371106109e-07,219,HZ2M04,RS,HZ2M04_coorect_RS
InN-Sncg,-0.0021105131372639164,6.908242791530757e-05,113,HZ2M04,RS,HZ2M04_coorect_RS
InN-Vip,-0.01737917859255716,0.015979281870471082,35,HZ2M04,RS,HZ2M04_coorect_RS
InN-Calb2,-0.04053046567811446,0.9262388468001718,26,HZ2M04,RS,HZ2M04_coorect_RS
InN-Erbb4,-0.04654026597906362,0.391704301791055,19,HZ2M04,RS,HZ2M04_coorect_RS
InN-Olf,-0.0702697040015067,0.7683745334173306,14,HZ2M04,RS,HZ2M04_coorect_RS
InN-Olf,0.006804893537615779,1.743583306389328e-26,209,HZ2M04,TH,HZ2M04_coorect_TH
InN-Sncg,0.0024823972694504913,5.922536087023325e-06,114,HZ2M04,TH,HZ2M04_coorect_TH
InN-Calb2,0.0007118794222510457,1.1284467921867293e-26,1429,HZ2M04,TH,HZ2M04_coorect_TH
InN-Erbb4,-0.003548030817270975,0.013306414411438525,109,HZ2M04,TH,HZ2M04_coorect_TH
InN-Pvalb,-0.004556452634468355,0.051384632650903775,112,HZ2M04,TH,HZ2M04_coorect_TH
InN-Sst,-0.009343522556471216,0.3237581793775014,130,HZ2M04,TH,HZ2M04_coorect_TH
InN-Lamp5,-0.05289935389611155,0.7847525612317142,19,HZ2M04,TH,HZ2M04_coorect_TH
InN-Calb2,8.779365182685617e-06,5.658658076772334e-09,2920,HZ2M05,BF,HZ2M05_coorect_BF
InN-Sst,-0.004423588897812395,0.1676167730917607,169,HZ2M05,BF,HZ2M05_coorect_BF
InN-Erbb4,-0.00477651437877981,0.3083560299701713,173,HZ2M05,BF,HZ2M05_coorect_BF
InN-Pvalb,-0.01835981511137225,0.020506584781292546,34,HZ2M05,BF,HZ2M05_coorect_BF
InN-Sncg,-0.018395014879908442,0.23620019333367492,45,HZ2M05,BF,HZ2M05_coorect_BF
InN-Sst,-0.00211155698054085,0.7663653185028113,449,HZ2M05,PFC,HZ2M05_coorect_PFC
InN-Pvalb,-0.0029956527256323746,0.9973900612696609,335,HZ2M05,PFC,HZ2M05_coorect_PFC
InN-Erbb4,-0.004072474195809482,0.5717351020232935,223,HZ2M05,PFC,HZ2M05_coorect_PFC
InN-Sncg,-0.00520552576603104,0.837731794278532,186,HZ2M05,PFC,HZ2M05_coorect_PFC
InN-Vip,-0.0064873680657903604,0.37872510414092764,125,HZ2M05,PFC,HZ2M05_coorect_PFC
InN-Lamp5,-0.013891102238047908,0.7021777568763093,68,HZ2M05,PFC,HZ2M05_coorect_PFC
InN-Olf,0.0027385806056234095,1.9741936897842e-251,1859,HZ2M05,STR,HZ2M05_coorect_STR
InN-Calb2,0.0009910270507796314,6.293226522069272e-20,613,HZ2M05,STR,HZ2M05_coorect_STR
InN-Sst,-0.0016987045111288882,0.03420472096625113,302,HZ2M05,STR,HZ2M05_coorect_STR
InN-Pvalb,-0.007956673928580462,0.5397594127274566,140,HZ2M05,STR,HZ2M05_coorect_STR
InN-Erbb4,-0.008117392110727928,0.07614169372825777,84,HZ2M05,STR,HZ2M05_coorect_STR
InN-Sncg,-0.0228537959133532,0.7894182285997176,47,HZ2M05,STR,HZ2M05_coorect_STR
InN-Lamp5,-0.03298847118751112,0.7062583907213438,33,HZ2M05,STR,HZ2M05_coorect_STR
InN-Sst,0.009318603286254978,6.799124297890554e-48,207,HZ2M06,BF,HZ2M06_coorect_BF
InN-Sncg,0.0061154430974573615,1.897780629798266e-09,59,HZ2M06,BF,HZ2M06_coorect_BF
InN-Calb2,0.002588085926478438,0.0,5077,HZ2M06,BF,HZ2M06_coorect_BF
InN-Erbb4,-0.005413100182515378,0.0012553413470918018,58,HZ2M06,BF,HZ2M06_coorect_BF
InN-Pvalb,-0.005680164292272459,0.5263505253137761,197,HZ2M06,BF,HZ2M06_coorect_BF
InN-Olf,-0.008986268140984745,0.7089833317196645,105,HZ2M06,BF,HZ2M06_coorect_BF
InN-Lamp5,-0.03512292970141501,0.9276920173961336,29,HZ2M06,BF,HZ2M06_coorect_BF
InN-Sst,-0.004672811816635543,0.07758039737870527,145,HZ2M06,ECT,HZ2M06_coorect_ECT
InN-Sncg,-0.011135916143042195,0.013574535186407872,43,HZ2M06,ECT,HZ2M06_coorect_ECT
InN-Erbb4,-0.01469806697553055,0.6995239990741031,74,HZ2M06,ECT,HZ2M06_coorect_ECT
InN-Vip,-0.030529857221531436,0.48335707085423907,29,HZ2M06,ECT,HZ2M06_coorect_ECT
InN-Pvalb,-0.04232236256418838,0.5184781933760649,22,HZ2M06,ECT,HZ2M06_coorect_ECT
InN-Sst,-0.002738987239994464,0.09426037014681117,243,HZ2M06,HPF,HZ2M06_coorect_HPF
InN-Sncg,-0.006363793329075423,0.9531097529255311,160,HZ2M06,HPF,HZ2M06_coorect_HPF
InN-Pvalb,-0.006428489810971215,0.14952153359916295,109,HZ2M06,HPF,HZ2M06_coorect_HPF
InN-Erbb4,-0.027583211732526862,0.3569286589342825,30,HZ2M06,HPF,HZ2M06_coorect_HPF
InN-Olf,-0.04723971436793486,0.970676196396527,22,HZ2M06,HPF,HZ2M06_coorect_HPF
InN-Lamp5,-0.06198573234626241,0.3870555775767591,15,HZ2M06,HPF,HZ2M06_coorect_HPF
InN-Pvalb,0.0002786050050812306,1.484616718498854e-13,943,HZ2M06,RS,HZ2M06_coorect_RS
InN-Sst,-0.0007838484405143141,6.316610037102617e-06,199,HZ2M06,RS,HZ2M06_coorect_RS
InN-Sncg,-0.0039061959728032987,0.026553775228740268,134,HZ2M06,RS,HZ2M06_coorect_RS
InN-Erbb4,-0.008301825764985182,0.007965226431498933,62,HZ2M06,RS,HZ2M06_coorect_RS
InN-Vip,-0.0171616549943826,0.13643143117880413,43,HZ2M06,RS,HZ2M06_coorect_RS
InN-Lamp5,-0.026207190237858963,0.08546537909096831,27,HZ2M06,RS,HZ2M06_coorect_RS
InN-Erbb4,0.01713478952113182,4.996408847257706e-64,154,HZ2M06,TH,HZ2M06_coorect_TH
InN-Calb2,0.010179202163570418,0.0,887,HZ2M06,TH,HZ2M06_coorect_TH
InN-Sncg,0.004017430513552005,1.2707686131801997e-11,147,HZ2M06,TH,HZ2M06_coorect_TH
InN-Pvalb,0.003991452468153343,8.064002895107092e-19,241,HZ2M06,TH,HZ2M06_coorect_TH
InN-Olf,-0.002158504852918939,0.0012728602895072398,154,HZ2M06,TH,HZ2M06_coorect_TH
InN-Sst,-0.00417732533539786,0.09001588267223726,163,HZ2M06,TH,HZ2M06_coorect_TH
InN-Lamp5,-0.0445017128728759,0.32529057943987516,19,HZ2M06,TH,HZ2M06_coorect_TH
InN-Vip,-0.06879027281088726,0.8274872277564427,15,HZ2M06,TH,HZ2M06_coorect_TH
InN-Calb2,0.002874636437240453,0.0,2985,HZ3M01,BF,HZ3M01_coorect_BF
InN-Erbb4,0.0010743413528900684,5.803023867371637e-16,417,HZ3M01,BF,HZ3M01_coorect_BF
InN-Sst,-0.00010868435195436888,1.7709415761817433e-05,247,HZ3M01,BF,HZ3M01_coorect_BF
InN-Sncg,-0.0029093645494331277,0.8803247286023969,353,HZ3M01,BF,HZ3M01_coorect_BF
InN-Pvalb,-0.003293828102189331,0.3095481543490053,251,HZ3M01,BF,HZ3M01_coorect_BF
InN-Olf,-0.006882890594609988,0.8896467958360911,151,HZ3M01,BF,HZ3M01_coorect_BF
InN-Vip,-0.025757716978250876,0.00010529781760165503,14,HZ3M01,BF,HZ3M01_coorect_BF
InN-Lamp5,-0.050380473830703335,0.5692092590009841,19,HZ3M01,BF,HZ3M01_coorect_BF
InN-Sst,0.0010855583359497478,7.754780994633004e-23,660,HZ3M01,PFC,HZ3M01_coorect_PFC
InN-Sncg,-0.0004064685470458135,5.970545627546539e-09,367,HZ3M01,PFC,HZ3M01_coorect_PFC
InN-Erbb4,-0.00123421921844858,0.00025135655570734364,281,HZ3M01,PFC,HZ3M01_coorect_PFC
InN-Vip,-0.0027823604376447527,0.0002618392684005055,147,HZ3M01,PFC,HZ3M01_coorect_PFC
InN-Pvalb,-0.003221851201456122,0.5441669467407332,340,HZ3M01,PFC,HZ3M01_coorect_PFC
InN-Lamp5,-0.009673077862432045,0.15595611667321352,83,HZ3M01,PFC,HZ3M01_coorect_PFC
InN-Calb2,-0.009901244768505853,0.20201660316442793,68,HZ3M01,PFC,HZ3M01_coorect_PFC
InN-Olf,-0.03508532736789935,0.27997483822313984,37,HZ3M01,PFC,HZ3M01_coorect_PFC
InN-Olf,0.007288234036516112,0.0,2589,HZ3M01,STR,HZ3M01_coorect_STR
InN-Sst,0.0007574715239254989,1.4847302407372332e-14,650,HZ3M01,STR,HZ3M01_coorect_STR
InN-Calb2,0.0005639114630495617,5.393899457031393e-13,690,HZ3M01,STR,HZ3M01_coorect_STR
InN-Sncg,-0.00132486469372209,2.630517650354552e-05,272,HZ3M01,STR,HZ3M01_coorect_STR
InN-Erbb4,-0.0016937837120974348,0.0022893406764421696,257,HZ3M01,STR,HZ3M01_coorect_STR
InN-Pvalb,-0.0037243362212930177,0.6866821053284344,288,HZ3M01,STR,HZ3M01_coorect_STR
InN-Lamp5,-0.006282915621682851,0.40389121292917474,140,HZ3M01,STR,HZ3M01_coorect_STR
InN-Vip,-0.06771156814558568,0.7335586404087417,15,HZ3M01,STR,HZ3M01_coorect_STR
InN-Erbb4,0.0017711647357928626,1.97372188228543e-17,271,HZ3M02,BF,HZ3M02_coorect_BF
InN-Calb2,0.0012890556479076556,0.0,4697,HZ3M02,BF,HZ3M02_coorect_BF
InN-Olf,0.0003809191077108132,6.634187809703748e-12,714,HZ3M02,BF,HZ3M02_coorect_BF
InN-Pvalb,-0.0014235270784823957,0.06752557385737427,490,HZ3M02,BF,HZ3M02_coorect_BF
InN-Sncg,-0.0026740096044309096,0.0018686999734891967,178,HZ3M02,BF,HZ3M02_coorect_BF
InN-Lamp5,-0.003783810501822825,0.04638839250246879,162,HZ3M02,BF,HZ3M02_coorect_BF
InN-Sst,-0.004453214485246351,0.047112983819402376,146,HZ3M02,BF,HZ3M02_coorect_BF
InN-Erbb4,0.0033384643527870693,6.467107995547898e-11,98,HZ3M02,ECT,HZ3M02_coorect_ECT
InN-Lamp5,-0.00188185619093498,0.0023398688834106595,18,HZ3M02,ECT,HZ3M02_coorect_ECT
InN-Sst,-0.0028012211292307476,0.07629657152286863,236,HZ3M02,ECT,HZ3M02_coorect_ECT
InN-Sncg,-0.0035859878288567867,4.0888972066411155e-05,88,HZ3M02,ECT,HZ3M02_coorect_ECT
InN-Pvalb,-0.012899449487970631,0.017742466765002678,41,HZ3M02,ECT,HZ3M02_coorect_ECT
InN-Vip,-0.02169873270574448,0.8111855218033142,49,HZ3M02,ECT,HZ3M02_coorect_ECT
InN-Olf,-0.03240163734612567,0.6497324583731797,29,HZ3M02,ECT,HZ3M02_coorect_ECT
InN-Calb2,-0.08030461081747886,0.5697319541733932,12,HZ3M02,ECT,HZ3M02_coorect_ECT
InN-Sncg,-0.0037332860172431567,0.07604963362258733,181,HZ3M02,HPF,HZ3M02_coorect_HPF
InN-Sst,-0.004868524568861544,0.06826424844354188,125,HZ3M02,HPF,HZ3M02_coorect_HPF
InN-Olf,-0.005015583249125458,0.03300016653067496,110,HZ3M02,HPF,HZ3M02_coorect_HPF
InN-Lamp5,-0.0065025065182241675,0.074700756166199,66,HZ3M02,HPF,HZ3M02_coorect_HPF
InN-Erbb4,-0.008491015888648586,0.9261371467874414,121,HZ3M02,HPF,HZ3M02_coorect_HPF
InN-Pvalb,-0.01337142493212308,0.5397814009917791,85,HZ3M02,HPF,HZ3M02_coorect_HPF
InN-Calb2,-0.01425227966711406,0.5601511972921986,81,HZ3M02,HPF,HZ3M02_coorect_HPF
InN-Pvalb,-0.0010767566582989504,0.05177159688574566,580,HZ3M02,RS,HZ3M02_coorect_RS
InN-Sst,-0.001819764679713969,0.012101513138478412,272,HZ3M02,RS,HZ3M02_coorect_RS
InN-Sncg,-0.0024768660924338404,0.0013214347204666382,168,HZ3M02,RS,HZ3M02_coorect_RS
InN-Erbb4,-0.005352961191430072,0.7572987891487655,200,HZ3M02,RS,HZ3M02_coorect_RS
InN-Vip,-0.010813275301934294,0.09810329905954038,66,HZ3M02,RS,HZ3M02_coorect_RS
InN-Olf,-0.01889193596397674,0.8485828833367437,56,HZ3M02,RS,HZ3M02_coorect_RS
InN-Calb2,-0.02582574205454845,0.4302040961863077,34,HZ3M02,RS,HZ3M02_coorect_RS
InN-Lamp5,-0.027302056368653946,0.15673568968357865,49,HZ3M02,RS,HZ3M02_coorect_RS
InN-Lamp5,0.02547398458946976,1.4048621531774866e-20,69,HZ3M02,TH,HZ3M02_coorect_TH
InN-Calb2,0.0034757912870171776,4.243999728190493e-134,1010,HZ3M02,TH,HZ3M02_coorect_TH
InN-Erbb4,0.0034669702833627467,1.24750385301546e-41,410,HZ3M02,TH,HZ3M02_coorect_TH
InN-Olf,0.0018832170077339614,1.1399162788635913e-38,750,HZ3M02,TH,HZ3M02_coorect_TH
InN-Sst,0.0014549678155013712,8.145882290672874e-10,132,HZ3M02,TH,HZ3M02_coorect_TH
InN-Pvalb,0.0012217377458540856,1.0454978199134121e-47,1245,HZ3M02,TH,HZ3M02_coorect_TH
InN-Sncg,0.0002865707126466671,1.2097206011232528e-10,345,HZ3M02,TH,HZ3M02_coorect_TH
InN-Vip,-0.008817865802601393,0.08665309225624016,60,HZ3M02,TH,HZ3M02_coorect_TH
InN-Sst,0.0021350322245298385,1.471649687832434e-14,219,HZ3M03,BF,HZ3M03_coorect_BF
InN-Calb2,0.0016022251300328563,0.0,3737,HZ3M03,BF,HZ3M03_coorect_BF
InN-Pvalb,-0.00010712782670347879,1.7238939915562153e-09,370,HZ3M03,BF,HZ3M03_coorect_BF
InN-Erbb4,-0.002107936696545294,0.45393048830022753,420,HZ3M03,BF,HZ3M03_coorect_BF
InN-Sncg,-0.0022395520792935063,0.11196107948029059,339,HZ3M03,BF,HZ3M03_coorect_BF
InN-Olf,-0.004363544249441558,0.7585345945780824,219,HZ3M03,BF,HZ3M03_coorect_BF
InN-Lamp5,-0.0257868690226783,0.0020717154916930674,21,HZ3M03,BF,HZ3M03_coorect_BF
InN-Vip,-0.08932744221804494,0.9170796640256691,12,HZ3M03,BF,HZ3M03_coorect_BF
InN-Sst,-0.0011523976585952865,0.42247530984438986,735,HZ3M03,PFC,HZ3M03_coorect_PFC
InN-Pvalb,-0.0016192967224659155,0.008557432237612586,368,HZ3M03,PFC,HZ3M03_coorect_PFC
InN-Sncg,-0.00229697047418988,0.5908830518979729,399,HZ3M03,PFC,HZ3M03_coorect_PFC
InN-Erbb4,-0.0023769657239323624,0.047372530513773776,282,HZ3M03,PFC,HZ3M03_coorect_PFC
InN-Vip,-0.008405266175880178,0.918468253141029,122,HZ3M03,PFC,HZ3M03_coorect_PFC
InN-Lamp5,-0.01736274733134873,0.8703912712804066,60,HZ3M03,PFC,HZ3M03_coorect_PFC
InN-Calb2,-0.028193956488641623,0.8450472271561721,38,HZ3M03,PFC,HZ3M03_coorect_PFC
InN-Olf,-0.03857077514347056,0.7225216633309515,29,HZ3M03,PFC,HZ3M03_coorect_PFC
InN-Olf,0.013654058334024884,0.0,2590,HZ3M03,STR,HZ3M03_coorect_STR
InN-Sst,0.006027275407109006,8.384701356383175e-140,718,HZ3M03,STR,HZ3M03_coorect_STR
InN-Erbb4,0.003915096713570906,1.765393062558164e-29,292,HZ3M03,STR,HZ3M03_coorect_STR
InN-Sncg,0.003279454997842399,1.0150988207917887e-22,251,HZ3M03,STR,HZ3M03_coorect_STR
InN-Lamp5,0.002831115528053032,1.1994114104226642e-19,114,HZ3M03,STR,HZ3M03_coorect_STR
InN-Pvalb,0.0011248467775771096,2.253782070759449e-18,367,HZ3M03,STR,HZ3M03_coorect_STR
InN-Calb2,0.0006370328461317963,8.371290506100891e-16,536,HZ3M03,STR,HZ3M03_coorect_STR
InN-Vip,-0.03408189633510332,0.955980207331974,30,HZ3M03,STR,HZ3M03_coorect_STR
InN-Calb2,0.003225975712820512,0.0,4153,HZ3M04,BF,HZ3M04_coorect_BF
InN-Olf,0.0019116923530336529,1.3211475457278046e-32,535,HZ3M04,BF,HZ3M04_coorect_BF
InN-Pvalb,-0.0011711294664509262,0.007825286374829972,505,HZ3M04,BF,HZ3M04_coorect_BF
InN-Erbb4,-0.001252017179803722,5.300525071150095e-05,303,HZ3M04,BF,HZ3M04_coorect_BF
InN-Sncg,-0.004266488888563918,0.0010133502485230445,104,HZ3M04,BF,HZ3M04_coorect_BF
InN-Sst,-0.006323211157907948,0.0993915651413828,109,HZ3M04,BF,HZ3M04_coorect_BF
InN-Lamp5,-0.030812878360259328,0.6580029043573175,36,HZ3M04,BF,HZ3M04_coorect_BF
InN-Sst,-0.00021275516456195553,8.462848576354375e-08,350,HZ3M04,ECT,HZ3M04_coorect_ECT
InN-Olf,-0.0026404670835325546,2.3952251320640845e-06,77,HZ3M04,ECT,HZ3M04_coorect_ECT
InN-Sncg,-0.008124568465553778,0.1509507280978407,97,HZ3M04,ECT,HZ3M04_coorect_ECT
InN-Erbb4,-0.014209327855352503,0.4794019811343406,64,HZ3M04,ECT,HZ3M04_coorect_ECT
InN-Pvalb,-0.015279114818643583,0.8922600335936767,68,HZ3M04,ECT,HZ3M04_coorect_ECT
InN-Calb2,-0.025107551201647982,0.09992577844570297,26,HZ3M04,ECT,HZ3M04_coorect_ECT
InN-Vip,-0.030619842997163603,0.450913088563377,37,HZ3M04,ECT,HZ3M04_coorect_ECT
InN-Lamp5,-0.03897081158653556,0.8800197582954727,26,HZ3M04,ECT,HZ3M04_coorect_ECT
InN-Sncg,-0.002769155181449801,0.012836806609193183,189,HZ3M04,HPF,HZ3M04_coorect_HPF
InN-Olf,-0.003301973008711637,0.023234986787422616,153,HZ3M04,HPF,HZ3M04_coorect_HPF
InN-Sst,-0.003755389620217527,0.9792302559615979,269,HZ3M04,HPF,HZ3M04_coorect_HPF
InN-Pvalb,-0.009253595175976242,0.846889548432473,113,HZ3M04,HPF,HZ3M04_coorect_HPF
InN-Erbb4,-0.018987524369531446,0.8509311838471588,56,HZ3M04,HPF,HZ3M04_coorect_HPF
InN-Lamp5,-0.019890137301303713,0.7321380523960558,55,HZ3M04,HPF,HZ3M04_coorect_HPF
InN-Calb2,-0.023984339378518134,0.7217646636915662,47,HZ3M04,HPF,HZ3M04_coorect_HPF
InN-Vip,-0.11632910322315233,0.27227682099647144,11,HZ3M04,HPF,HZ3M04_coorect_HPF
InN-Pvalb,0.0005410583200317758,3.1607598150411346e-20,889,HZ3M04,RS,HZ3M04_coorect_RS
InN-Sst,-0.002172119319782825,0.10157359736000453,308,HZ3M04,RS,HZ3M04_coorect_RS
InN-Sncg,-0.005965259348072511,0.1019545375239042,126,HZ3M04,RS,HZ3M04_coorect_RS
InN-Erbb4,-0.007852038613181594,0.8325969086310394,124,HZ3M04,RS,HZ3M04_coorect_RS
InN-Olf,-0.0209424296003296,0.6288653455792536,53,HZ3M04,RS,HZ3M04_coorect_RS
InN-Calb2,-0.031243708088510354,0.43828163382044394,28,HZ3M04,RS,HZ3M04_coorect_RS
InN-Vip,-0.04047524766051673,0.3818785906598009,29,HZ3M04,RS,HZ3M04_coorect_RS
InN-Lamp5,-0.05126945554754944,0.18251189662578737,24,HZ3M04,RS,HZ3M04_coorect_RS
InN-Pvalb,0.0004915975247823787,2.8708447125577678e-15,657,HZ3M04,TH,HZ3M04_coorect_TH
InN-Calb2,0.0003920711587256503,4.31846653152866e-19,1271,HZ3M04,TH,HZ3M04_coorect_TH
InN-Sst,-0.000345346268932229,6.114827584186729e-06,160,HZ3M04,TH,HZ3M04_coorect_TH
InN-Erbb4,-0.001780752150752773,0.00568842147574553,277,HZ3M04,TH,HZ3M04_coorect_TH
InN-Olf,-0.0019073472343725296,0.8518672315965,509,HZ3M04,TH,HZ3M04_coorect_TH
InN-Sncg,-0.003801777784280488,0.9994095468270539,264,HZ3M04,TH,HZ3M04_coorect_TH
InN-Lamp5,-0.04815936754203239,0.31835926115734714,26,HZ3M04,TH,HZ3M04_coorect_TH
InN-Vip,-0.06331245338911032,0.6191397764017826,18,HZ3M04,TH,HZ3M04_coorect_TH
InN-Calb2,0.005752956546641779,0.0,4637,HZ3M05,BF,HZ3M05_coorect_BF
InN-Erbb4,0.0038090230143486294,9.05641196872259e-48,379,HZ3M05,BF,HZ3M05_coorect_BF
InN-Sst,0.00026994736652629476,1.3360555047887538e-09,324,HZ3M05,BF,HZ3M05_coorect_BF
InN-Sncg,-0.0005754224932736596,2.1667041564953154e-06,220,HZ3M05,BF,HZ3M05_coorect_BF
InN-Pvalb,-0.0010935078194712236,0.015258714452342888,509,HZ3M05,BF,HZ3M05_coorect_BF
InN-Olf,-0.0034180810796084074,7.347474338000905e-05,84,HZ3M05,BF,HZ3M05_coorect_BF
InN-Lamp5,-0.016424290617549412,6.052144979772014e-06,21,HZ3M05,BF,HZ3M05_coorect_BF
InN-Sst,-0.001664271555934297,0.47370510984914016,510,HZ3M05,PFC,HZ3M05_coorect_PFC
InN-Sncg,-0.0022132433025222236,0.4561328243733084,396,HZ3M05,PFC,HZ3M05_coorect_PFC
InN-Erbb4,-0.0023183493942450506,0.45849677355246277,370,HZ3M05,PFC,HZ3M05_coorect_PFC
InN-Pvalb,-0.002386813270060922,0.11068281950914786,286,HZ3M05,PFC,HZ3M05_coorect_PFC
InN-Vip,-0.0040979840834771,0.14632798018851492,165,HZ3M05,PFC,HZ3M05_coorect_PFC
InN-Lamp5,-0.013763356849295232,0.11507824768169675,53,HZ3M05,PFC,HZ3M05_coorect_PFC
InN-Olf,0.006319087938894935,0.0,3678,HZ3M05,STR,HZ3M05_coorect_STR
InN-Sncg,0.0029670014718879006,6.716615263114789e-19,208,HZ3M05,STR,HZ3M05_coorect_STR
InN-Sst,0.0005370419137596345,1.8174952894602848e-09,548,HZ3M05,STR,HZ3M05_coorect_STR
InN-Erbb4,0.00011756713071923319,8.304819768036244e-08,188,HZ3M05,STR,HZ3M05_coorect_STR
InN-Calb2,-0.000362105389820646,1.2784304579468436e-05,685,HZ3M05,STR,HZ3M05_coorect_STR
InN-Pvalb,-0.002833812663006456,0.844669312412407,340,HZ3M05,STR,HZ3M05_coorect_STR
InN-Lamp5,-0.004391626507841271,0.0299112146377755,143,HZ3M05,STR,HZ3M05_coorect_STR
InN-Vip,-0.04145767822462593,0.719667346318748,27,HZ3M05,STR,HZ3M05_coorect_STR
InN-Calb2,0.005874507679377334,0.0,5595,HZ3M06,BF,HZ3M06_coorect_BF
InN-Olf,0.005113000757873659,2.6923568566340595e-127,547,HZ3M06,BF,HZ3M06_coorect_BF
InN-Sst,0.0017212823002506863,1.4482181329005785e-11,187,HZ3M06,BF,HZ3M06_coorect_BF
InN-Erbb4,-0.0004327974391402717,4.210351340725763e-08,212,HZ3M06,BF,HZ3M06_coorect_BF
InN-Pvalb,-0.0005510868425005501,0.00015363839266102088,758,HZ3M06,BF,HZ3M06_coorect_BF
InN-Lamp5,-0.001489433373075802,1.839272462682039e-05,167,HZ3M06,BF,HZ3M06_coorect_BF
InN-Sncg,-0.005479723830558985,0.03789574756171139,122,HZ3M06,BF,HZ3M06_coorect_BF
InN-Sst,-0.0010590015814677855,0.0002224961666568352,327,HZ3M06,ECT,HZ3M06_coorect_ECT
InN-Sncg,-0.010868109378862591,0.6861511175933913,87,HZ3M06,ECT,HZ3M06_coorect_ECT
InN-Erbb4,-0.012553550909534599,0.7508782042796911,76,HZ3M06,ECT,HZ3M06_coorect_ECT
InN-Olf,-0.01718746345708967,0.5969174904018268,65,HZ3M06,ECT,HZ3M06_coorect_ECT
InN-Pvalb,-0.018472432456151166,0.9242517020810389,54,HZ3M06,ECT,HZ3M06_coorect_ECT
InN-Vip,-0.03736919641616799,0.9638914504467195,28,HZ3M06,ECT,HZ3M06_coorect_ECT
InN-Calb2,-0.05131340876745144,0.7102220977850191,22,HZ3M06,ECT,HZ3M06_coorect_ECT
InN-Lamp5,-0.052398119029651184,0.6473178043840984,19,HZ3M06,ECT,HZ3M06_coorect_ECT
InN-Vip,0.008095295399895744,1.0175497425963165e-06,38,HZ3M06,HPF,HZ3M06_coorect_HPF
InN-Olf,0.004099937546368247,1.6624986673901457e-23,235,HZ3M06,HPF,HZ3M06_coorect_HPF
InN-Sst,0.0036675746311423444,1.835378464741796e-22,295,HZ3M06,HPF,HZ3M06_coorect_HPF
InN-Sncg,-0.0008610168742707178,1.416602581592304e-05,284,HZ3M06,HPF,HZ3M06_coorect_HPF
InN-Erbb4,-0.0034104205665517677,0.013447276801703854,129,HZ3M06,HPF,HZ3M06_coorect_HPF
