,Moran's I,P-value,num_cell,sample_region,sample,region,month
Endo,0.044810840802284646,0.5559971360137378,379.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
Micro,0.04108577413927444,0.05604124399060042,1314.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
ExN,0.04012830876450533,3.475930501609113e-21,13003.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
MSN,-0.009503538791165748,0.9388570523950133,371.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
Peri,-0.03390674151238615,0.509550269490894,616.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
OPC,-0.054306105104671,0.5791759026919875,305.0,HZ12M02_Hippocampal formation,HZ12M02,Hippocampal formation,12M
SMC,0.1596688679130543,0.00483992899181932,670.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
Endo,0.13274386690701995,0.03557236599624928,581.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
ExN,0.12575341831107653,2.1589964936224857e-215,17047.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
Astro,0.09694065040555275,5.266870234086602e-13,3577.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
Micro,0.0943263121553848,2.2306339125250283e-10,2107.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
MSN,0.09262856681474539,0.05390430174160259,848.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
InN,0.07657124274808182,2.0438321301629287e-08,3982.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
Olig,0.03163935721421405,0.06604969168485356,1460.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
Peri,0.03088138151583168,0.5250640049322642,764.0,HZ12M02_Prefrontal cortex,HZ12M02,Prefrontal cortex,12M
