celltype,Moran's I,P-value,num_cell,id,month
OPC,-0.0006250971998041996,5.194374634481015e-05,263,HZ2M03_BF,2
InN,0.00868539626818308,0.0,4878,HZ2M04_BF,2
Astro,0.007202707286327,0.0,1589,HZ2M04_BF,2
Peri,0.005120203369797402,0.0,2030,HZ2M04_BF,2
OPC,0.004290372927690691,6.255727032352123e-41,414,HZ2M04_BF,2
ExN,0.003757172087627004,4.6142282474572776e-64,722,HZ2M04_BF,2
Micro,0.0027383222230216685,3.1119435784530446e-09,237,HZ2M04_BF,2
Endo,0.0020318925510146774,2.0154502034493484e-24,459,HZ2M04_BF,2
Olig,0.0019095844549953762,8.299288764187142e-169,2926,HZ2M04_BF,2
ExN,0.013035832602034775,0.0,1837,HZ2M05_BF,2
Olig,0.009792201095781999,0.0,1685,HZ2M05_BF,2
InN,0.007483831184878044,0.0,3346,HZ2M05_BF,2
Peri,0.003349718364836146,3.1966536597007066e-112,1103,HZ2M05_BF,2
Astro,0.0015086258593230903,1.6697846699825927e-24,1127,HZ2M05_BF,2
OPC,-0.0010924017513608498,7.513861354105196e-05,246,HZ2M05_BF,2
Endo,-0.005427277332439073,0.03014976093735159,105,HZ2M05_BF,2
Astro,0.007944346045638002,0.0,1410,HZ2M06_BF,2
Olig,0.007407512222861216,0.0,2220,HZ2M06_BF,2
Peri,0.005185012559414671,0.0,1970,HZ2M06_BF,2
ExN,0.005164202752436561,3.657323281184364e-207,1011,HZ2M06_BF,2
InN,0.003334838527687597,0.0,5732,HZ2M06_BF,2
OPC,0.002556389370165673,2.9788378366731774e-32,576,HZ2M06_BF,2
Micro,0.0010939899256841132,1.7113338837204284e-06,259,HZ2M06_BF,2
SMC,0.000343671024021222,1.1624431782636471e-07,98,HZ2M06_BF,2
Endo,0.00019268265204744968,5.940682966420856e-09,236,HZ2M06_BF,2
Olig,0.0022967534792818997,2.1980366976832985e-140,2462,HZ3M01_BF,3
InN,0.0018132777665663205,0.0,4437,HZ3M01_BF,3
Peri,0.0014720879480340685,1.6879392596231559e-87,2123,HZ3M01_BF,3
ExN,0.0005175484328263779,5.526723389135699e-17,1816,HZ3M01_BF,3
Astro,0.00020541056221679694,1.0162620401724519e-07,1701,HZ3M01_BF,3
Micro,-0.00078734612984442,0.02063436144856356,543,HZ3M01_BF,3
SMC,0.04504680822453685,6.054714018556007e-190,197,HZ3M02_BF,3
Olig,0.01012433560668631,0.0,1832,HZ3M02_BF,3
Peri,0.004512004810997034,0.0,1947,HZ3M02_BF,3
Astro,0.003702968202048526,3.3799396634511987e-53,937,HZ3M02_BF,3
InN,0.0017648325361665296,0.0,6668,HZ3M02_BF,3
Micro,-1.070255108851128e-05,0.00046342999488276917,200,HZ3M02_BF,3
Endo,-0.004652553920116401,0.034398798767042264,116,HZ3M02_BF,3
MSN,-0.0058510082701036525,0.018211269609391168,99,HZ3M02_BF,3
InN,0.0057524601702671155,0.0,5337,HZ3M03_BF,3
ExN,0.002110889684942335,7.970338736469119e-75,1177,HZ3M03_BF,3
Peri,0.000804325749001988,2.162664156065512e-45,2110,HZ3M03_BF,3
Olig,0.0006531258236757232,2.8220683423835886e-24,2113,HZ3M03_BF,3
Astro,-0.00042268337279205355,0.009674133880874613,944,HZ3M03_BF,3
OPC,-0.0029208411009592535,0.026514852092986853,198,HZ3M03_BF,3
Micro,0.012117362606545688,0.007213996023301667,386,HZ3M04_BF,3
InN,0.003409855919724446,0.0,5747,HZ3M04_BF,3
ExN,0.002648415901523734,1.0240850383889942e-58,959,HZ3M04_BF,3
Peri,0.0015782209584819442,9.773755487076156e-157,2661,HZ3M04_BF,3
Olig,0.0013419888358873937,2.3834056685251625e-96,3010,HZ3M04_BF,3
Endo,0.0009801433674303368,1.8867094943193542e-10,163,HZ3M04_BF,3
Astro,0.0005622386055832284,0.010935355145902879,1069,HZ3M04_BF,3
