,Moran's I,P-value,num_cell,sample_region,sample,region,month,slice_no,slice,celltype,structure
ExN,0.34131872899069804,5.462800309642717e-08,306.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,ExN,Striatum
InN,0.2763206726440178,1.7796617757582973e-08,318.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,InN,Striatum
Endo,0.22217131169760512,5.328457996745701e-06,356.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,Endo,Striatum
MSN,0.19358340176215139,0.00010240735697208474,373.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,MSN,Striatum
Olig,0.07767238916541089,0.04953820060798071,301.0,HZ12M02_Striatum,HZ12M02,Striatum,12M,2,hippo,Olig,Striatum
MSN,0.3573742115703413,3.3955618428511974e-07,621.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,MSN,Thalamus
InN,0.3194626939145438,4.400817385594798e-200,5268.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,InN,Thalamus
SMC,0.2772528806833758,2.9373239774563885e-26,2032.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,SMC,Thalamus
ExN,0.24298877836175384,5.321245905102963e-281,9715.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,ExN,Thalamus
Peri,0.1820047890358492,5.539499941556027e-10,1818.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,Peri,Thalamus
OPC,0.12333712934492172,0.0006131327524920985,1283.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,OPC,Thalamus
Endo,0.12226893998343506,0.02243351671050305,877.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,Endo,Thalamus
Astro,0.10242355901221177,1.5952987191748216e-52,9607.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,Astro,Thalamus
Micro,0.09235605769595166,7.281284494174728e-13,3481.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,Micro,Thalamus
Olig,0.04822579078283636,0.0001161378368759896,3303.0,HZ12M02_Thalamus,HZ12M02,Thalamus,12M,2,hippo,Olig,Thalamus
SMC,0.09492506686339408,0.0015818516193902782,1165.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M,3,ctx,SMC,Basal forebrain
Micro,0.09153239568831671,0.0003178910503650356,1076.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M,3,ctx,Micro,Basal forebrain
Olig,0.07803818226577847,9.667340057653588e-10,2339.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M,3,ctx,Olig,Basal forebrain
Astro,0.0662116740059237,8.17741825737778e-09,3447.0,HZ12M03_Basal forebrain,HZ12M03,Basal forebrain,12M,3,ctx,Astro,Basal forebrain
SMC,0.39103027213519786,3.3246881560876317e-103,2888.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,SMC,Prefrontal cortex
Peri,0.19165196606953272,7.084582582166379e-09,1122.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,Peri,Prefrontal cortex
Astro,0.17927018332892344,1.0744294510037879e-99,7158.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,Astro,Prefrontal cortex
OPC,0.17846322020672556,0.00031354573201003525,897.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,OPC,Prefrontal cortex
ExN,0.10672998334536295,1.908596655607188e-301,30170.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,ExN,Prefrontal cortex
Micro,0.08218049947736103,5.493148195052495e-18,4406.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,Micro,Prefrontal cortex
InN,0.08014507058777927,3.7652511149727113e-16,7022.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,InN,Prefrontal cortex
Olig,0.05690060878652956,0.0023612312138897315,1598.0,HZ12M03_Prefrontal cortex,HZ12M03,Prefrontal cortex,12M,3,ctx,Olig,Prefrontal cortex
SMC,0.21814685394229397,9.079099082090382e-38,3732.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,SMC,Striatum
Peri,0.16838602536190256,1.690209124069448e-10,2007.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,Peri,Striatum
InN,0.06929184126550858,2.5654084620472007e-14,7380.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,InN,Striatum
ExN,0.050315592065887135,1.1556807461411586e-13,10488.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,ExN,Striatum
Astro,0.04221477660188384,2.8657543597796637e-10,9714.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,Astro,Striatum
Micro,0.034633229274778014,0.002496416958164925,3853.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,Micro,Striatum
Olig,0.02446717973040443,0.014258764987650377,4139.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,Olig,Striatum
MSN,0.01374799687693851,0.04297127130667093,8901.0,HZ12M03_Striatum,HZ12M03,Striatum,12M,3,ctx,MSN,Striatum
SMC,0.6650214397133646,2.005308683182695e-06,82.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M,4,hippo,SMC,Entorhinal area
MSN,0.3820788381982826,0.04555663028445212,54.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M,4,hippo,MSN,Entorhinal area
Astro,0.16426062790192378,5.766985505262573e-06,414.0,HZ12M04_Entorhinal area,HZ12M04,Entorhinal area,12M,4,hippo,Astro,Entorhinal area
Peri,0.10185558214037109,0.016208841925626948,555.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M,4,hippo,Peri,Hippocampal formation
SMC,0.0924509233462139,0.001374706810871742,914.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M,4,hippo,SMC,Hippocampal formation
ExN,0.07542587990552103,1.8421483005735028e-60,11306.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M,4,hippo,ExN,Hippocampal formation
Micro,0.05442853799229135,0.009401366000205795,1179.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M,4,hippo,Micro,Hippocampal formation
Astro,0.04101419950046025,2.2399758850629507e-05,3770.0,HZ12M04_Hippocampal formation,HZ12M04,Hippocampal formation,12M,4,hippo,Astro,Hippocampal formation
MSN,0.42178217194936335,0.017196424855413305,104.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M,4,hippo,MSN,Retrosplenial area
SMC,0.22784411522161047,4.1456645064550316e-10,713.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M,4,hippo,SMC,Retrosplenial area
ExN,0.12726911729059287,7.150682385720666e-35,3547.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M,4,hippo,ExN,Retrosplenial area
Olig,0.07156556795083416,7.710044637372934e-05,1086.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M,4,hippo,Olig,Retrosplenial area
Astro,0.06381781185821031,0.000641896204628368,1466.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M,4,hippo,Astro,Retrosplenial area
Micro,0.05606371585231526,0.027330525403393497,743.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M,4,hippo,Micro,Retrosplenial area
InN,0.03952081668329257,0.0459275282920884,1619.0,HZ12M04_Retrosplenial area,HZ12M04,Retrosplenial area,12M,4,hippo,InN,Retrosplenial area
Micro,0.5686225247377473,1.9520049311283176e-52,609.0,HZ12M04_Striatum,HZ12M04,Striatum,12M,4,hippo,Micro,Striatum
Astro,0.4118046565292031,4.27064425595641e-171,2410.0,HZ12M04_Striatum,HZ12M04,Striatum,12M,4,hippo,Astro,Striatum
SMC,0.2707332647514523,2.5011389276432954e-10,629.0,HZ12M04_Striatum,HZ12M04,Striatum,12M,4,hippo,SMC,Striatum
Peri,0.2658758391563083,1.5065372223333747e-05,394.0,HZ12M04_Striatum,HZ12M04,Striatum,12M,4,hippo,Peri,Striatum
Olig,0.24473622643708348,3.7644958475869257e-19,648.0,HZ12M04_Striatum,HZ12M04,Striatum,12M,4,hippo,Olig,Striatum
OPC,0.18422529770291396,1.7344445965857507e-05,637.0,HZ12M04_Striatum,HZ12M04,Striatum,12M,4,hippo,OPC,Striatum
Endo,0.18040706339481122,8.23273580924287e-07,762.0,HZ12M04_Striatum,HZ12M04,Striatum,12M,4,hippo,Endo,Striatum
MSN,0.12627733322318044,3.0849010878272943e-07,990.0,HZ12M04_Striatum,HZ12M04,Striatum,12M,4,hippo,MSN,Striatum
InN,0.11409809571374693,4.678815522374869e-09,1725.0,HZ12M04_Striatum,HZ12M04,Striatum,12M,4,hippo,InN,Striatum
ExN,0.08923516479958073,6.3433598888433885e-06,1589.0,HZ12M04_Striatum,HZ12M04,Striatum,12M,4,hippo,ExN,Striatum
ExN,0.2904790475371882,0.0,8946.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M,4,hippo,ExN,Thalamus
SMC,0.2781987237208055,3.75756604163777e-39,2551.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M,4,hippo,SMC,Thalamus
InN,0.2247879839751744,1.9803682140454051e-122,5902.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M,4,hippo,InN,Thalamus
Astro,0.16055985413035026,6.57399507557789e-123,8542.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M,4,hippo,Astro,Thalamus
Endo,0.12022169552128695,0.01704504719906243,814.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M,4,hippo,Endo,Thalamus
OPC,0.11046362708438745,0.0007882486663573702,1335.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M,4,hippo,OPC,Thalamus
Peri,0.10807044997791254,0.0003463654625141521,1494.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M,4,hippo,Peri,Thalamus
Micro,0.06701226393058769,1.9391151710944843e-07,2987.0,HZ12M04_Thalamus,HZ12M04,Thalamus,12M,4,hippo,Micro,Thalamus
InN,0.22428876461087519,1.4065568859430998e-91,3592.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M,5,ctx,InN,Basal forebrain
OPC,0.1567937083414208,0.027329805793188614,361.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M,5,ctx,OPC,Basal forebrain
Peri,0.13883405549807376,0.0028520753461321827,620.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M,5,ctx,Peri,Basal forebrain
SMC,0.12131319495641746,6.066095083748021e-08,1507.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M,5,ctx,SMC,Basal forebrain
Micro,0.06460598916162144,0.023892900944105164,728.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M,5,ctx,Micro,Basal forebrain
Astro,0.06090961083147414,1.0939666790581737e-05,2393.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M,5,ctx,Astro,Basal forebrain
ExN,0.05211992276986393,0.005688622477643773,1826.0,HZ12M05_Basal forebrain,HZ12M05,Basal forebrain,12M,5,ctx,ExN,Basal forebrain
SMC,0.33316348335914997,2.1989514267826275e-32,1723.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M,5,ctx,SMC,Prefrontal cortex
Peri,0.2432713637131384,3.761731573979041e-12,1118.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M,5,ctx,Peri,Prefrontal cortex
Astro,0.10320972554033768,4.228083943288499e-37,7670.0,HZ12M05_Prefrontal cortex,HZ12M05,Prefrontal cortex,12M,5,ctx,Astro,Prefrontal cortex
