,Moran's I,P-value,num_cell,sample_region,sample,region,month,slice_no,slice,celltype,structure
InN,0.11185489119533604,2.0114419999617408e-08,1537.0,HZ2M02_Retrosplenial area,HZ2M02,Retrosplenial area,2M,2,hippo,InN,Retrosplenial area
Astro,0.09449954429825945,0.0012002844944972709,646.0,HZ2M02_Retrosplenial area,HZ2M02,Retrosplenial area,2M,2,hippo,Astro,Retrosplenial area
ExN,0.08525662203450363,9.494052615134455e-16,3447.0,HZ2M02_Retrosplenial area,HZ2M02,Retrosplenial area,2M,2,hippo,ExN,Retrosplenial area
Peri,0.2653935741670345,1.2682109189468391e-15,870.0,HZ2M02_Striatum,HZ2M02,Striatum,2M,2,hippo,Peri,Striatum
Olig,0.18332484243722047,3.6850352486310042e-65,2887.0,HZ2M02_Striatum,HZ2M02,Striatum,2M,2,hippo,Olig,Striatum
ExN,0.17483719860612762,1.0270989721048404e-16,1463.0,HZ2M02_Striatum,HZ2M02,Striatum,2M,2,hippo,ExN,Striatum
Astro,0.1596794938963775,5.188709499023485e-34,2679.0,HZ2M02_Striatum,HZ2M02,Striatum,2M,2,hippo,Astro,Striatum
Endo,0.15210357907542918,0.0011332352688082216,626.0,HZ2M02_Striatum,HZ2M02,Striatum,2M,2,hippo,Endo,Striatum
InN,0.14522306799420343,9.685882248475538e-11,1251.0,HZ2M02_Striatum,HZ2M02,Striatum,2M,2,hippo,InN,Striatum
MSN,0.04520810695672676,0.025354126203302883,1575.0,HZ2M02_Striatum,HZ2M02,Striatum,2M,2,hippo,MSN,Striatum
InN,0.250251356936307,1.93092507275778e-123,4161.0,HZ2M02_Thalamus,HZ2M02,Thalamus,2M,2,hippo,InN,Thalamus
Endo,0.19212224960173682,0.00021620964800956019,643.0,HZ2M02_Thalamus,HZ2M02,Thalamus,2M,2,hippo,Endo,Thalamus
OPC,0.18867040276642882,0.0029207225505531453,517.0,HZ2M02_Thalamus,HZ2M02,Thalamus,2M,2,hippo,OPC,Thalamus
Peri,0.18267666472784808,1.4284126097415364e-20,2106.0,HZ2M02_Thalamus,HZ2M02,Thalamus,2M,2,hippo,Peri,Thalamus
ExN,0.16418275901543777,8.694149307426005e-164,9891.0,HZ2M02_Thalamus,HZ2M02,Thalamus,2M,2,hippo,ExN,Thalamus
Olig,0.0856420311175021,3.004198407010208e-25,4672.0,HZ2M02_Thalamus,HZ2M02,Thalamus,2M,2,hippo,Olig,Thalamus
Astro,0.08041228427776151,4.601272920692374e-07,2451.0,HZ2M02_Thalamus,HZ2M02,Thalamus,2M,2,hippo,Astro,Thalamus
ExN,0.12333423351002884,4.069213848315294e-11,1933.0,HZ2M03_Basal forebrain,HZ2M03,Basal forebrain,2M,3,ctx,ExN,Basal forebrain
InN,0.08641314896628914,3.762867406244223e-06,1923.0,HZ2M03_Basal forebrain,HZ2M03,Basal forebrain,2M,3,ctx,InN,Basal forebrain
Peri,0.07635016719044421,0.0010779990327587363,1320.0,HZ2M03_Basal forebrain,HZ2M03,Basal forebrain,2M,3,ctx,Peri,Basal forebrain
Olig,0.06465899134876225,1.0309357016512531e-08,2824.0,HZ2M03_Basal forebrain,HZ2M03,Basal forebrain,2M,3,ctx,Olig,Basal forebrain
SMC,0.9778077164995832,0.010891053404617917,45.0,HZ2M03_Prefrontal cortex,HZ2M03,Prefrontal cortex,2M,3,ctx,SMC,Prefrontal cortex
OPC,0.3520130470479145,0.01253532655912921,161.0,HZ2M03_Prefrontal cortex,HZ2M03,Prefrontal cortex,2M,3,ctx,OPC,Prefrontal cortex
ExN,0.22058483028123957,0.0,20005.0,HZ2M03_Prefrontal cortex,HZ2M03,Prefrontal cortex,2M,3,ctx,ExN,Prefrontal cortex
InN,0.10687801907426107,6.434502488223088e-22,4351.0,HZ2M03_Prefrontal cortex,HZ2M03,Prefrontal cortex,2M,3,ctx,InN,Prefrontal cortex
Micro,0.09993802072566081,0.015590027236520013,529.0,HZ2M03_Prefrontal cortex,HZ2M03,Prefrontal cortex,2M,3,ctx,Micro,Prefrontal cortex
Astro,0.09853493824134435,2.8508820829836254e-11,2610.0,HZ2M03_Prefrontal cortex,HZ2M03,Prefrontal cortex,2M,3,ctx,Astro,Prefrontal cortex
Peri,0.09416589760307248,0.04607846939336597,395.0,HZ2M03_Prefrontal cortex,HZ2M03,Prefrontal cortex,2M,3,ctx,Peri,Prefrontal cortex
Olig,0.08950411514852864,9.45424284169664e-10,1682.0,HZ2M03_Prefrontal cortex,HZ2M03,Prefrontal cortex,2M,3,ctx,Olig,Prefrontal cortex
SMC,0.15081440476044514,0.0036988947462619215,417.0,HZ2M03_Striatum,HZ2M03,Striatum,2M,3,ctx,SMC,Striatum
InN,0.13848528211565722,3.1772265000091262e-37,4489.0,HZ2M03_Striatum,HZ2M03,Striatum,2M,3,ctx,InN,Striatum
Peri,0.11260582221246153,2.4734597409916453e-08,2114.0,HZ2M03_Striatum,HZ2M03,Striatum,2M,3,ctx,Peri,Striatum
Endo,0.07839371797538916,0.0015975441284960677,1877.0,HZ2M03_Striatum,HZ2M03,Striatum,2M,3,ctx,Endo,Striatum
Astro,0.0609890384167091,4.2197207468782365e-07,3606.0,HZ2M03_Striatum,HZ2M03,Striatum,2M,3,ctx,Astro,Striatum
ExN,0.059845421609696414,4.865338852681184e-09,5792.0,HZ2M03_Striatum,HZ2M03,Striatum,2M,3,ctx,ExN,Striatum
Olig,0.05670304379945065,2.1120640698078323e-13,6361.0,HZ2M03_Striatum,HZ2M03,Striatum,2M,3,ctx,Olig,Striatum
MSN,0.04513961914484138,5.193333642902592e-11,8592.0,HZ2M03_Striatum,HZ2M03,Striatum,2M,3,ctx,MSN,Striatum
InN,0.16007014927240104,5.0565021513910094e-05,680.0,HZ2M04_Hippocampal formation,HZ2M04,Hippocampal formation,2M,4,hippo,InN,Hippocampal formation
Olig,0.14082517363476965,3.591977288929224e-08,884.0,HZ2M04_Hippocampal formation,HZ2M04,Hippocampal formation,2M,4,hippo,Olig,Hippocampal formation
Endo,0.09398531015043445,0.021831743589327584,741.0,HZ2M04_Hippocampal formation,HZ2M04,Hippocampal formation,2M,4,hippo,Endo,Hippocampal formation
ExN,0.06557438806950525,2.4725857986667847e-24,7711.0,HZ2M04_Hippocampal formation,HZ2M04,Hippocampal formation,2M,4,hippo,ExN,Hippocampal formation
Astro,0.029978483221471158,0.009875329164900498,3000.0,HZ2M04_Hippocampal formation,HZ2M04,Hippocampal formation,2M,4,hippo,Astro,Hippocampal formation
OPC,-0.30536808117470715,0.033063110531678014,127.0,HZ2M04_Hippocampal formation,HZ2M04,Hippocampal formation,2M,4,hippo,OPC,Hippocampal formation
Olig,0.18582811394239174,3.7976358559771783e-06,386.0,HZ2M04_Retrosplenial area,HZ2M04,Retrosplenial area,2M,4,hippo,Olig,Retrosplenial area
Micro,0.16525045559853346,0.02349832023930624,194.0,HZ2M04_Retrosplenial area,HZ2M04,Retrosplenial area,2M,4,hippo,Micro,Retrosplenial area
InN,0.1584286113284334,4.880649314417201e-14,1558.0,HZ2M04_Retrosplenial area,HZ2M04,Retrosplenial area,2M,4,hippo,InN,Retrosplenial area
ExN,0.1382302990520012,5.243907789978854e-35,3628.0,HZ2M04_Retrosplenial area,HZ2M04,Retrosplenial area,2M,4,hippo,ExN,Retrosplenial area
Astro,0.10908436724106642,7.491192770177358e-05,761.0,HZ2M04_Retrosplenial area,HZ2M04,Retrosplenial area,2M,4,hippo,Astro,Retrosplenial area
InN,0.21480876185706588,1.3069752519775552e-17,975.0,HZ2M04_Striatum,HZ2M04,Striatum,2M,4,hippo,InN,Striatum
Astro,0.1864046188550398,4.800963457021941e-15,1148.0,HZ2M04_Striatum,HZ2M04,Striatum,2M,4,hippo,Astro,Striatum
Endo,0.1800446988268061,0.0012083442357266373,486.0,HZ2M04_Striatum,HZ2M04,Striatum,2M,4,hippo,Endo,Striatum
Olig,0.15167443424373128,7.734156903592997e-16,1251.0,HZ2M04_Striatum,HZ2M04,Striatum,2M,4,hippo,Olig,Striatum
Peri,0.12635863175276824,0.0035690224100409294,489.0,HZ2M04_Striatum,HZ2M04,Striatum,2M,4,hippo,Peri,Striatum
MSN,0.12034347235922335,6.452166211280946e-09,1552.0,HZ2M04_Striatum,HZ2M04,Striatum,2M,4,hippo,MSN,Striatum
ExN,0.10962500709898526,0.0002759587785269317,736.0,HZ2M04_Striatum,HZ2M04,Striatum,2M,4,hippo,ExN,Striatum
Olig,0.1522452130746315,5.301435162359823e-62,4263.0,HZ2M04_Thalamus,HZ2M04,Thalamus,2M,4,hippo,Olig,Thalamus
Endo,0.12376629164649952,0.0004757922684779798,988.0,HZ2M04_Thalamus,HZ2M04,Thalamus,2M,4,hippo,Endo,Thalamus
ExN,0.10702870647945918,1.4687292986104262e-78,10264.0,HZ2M04_Thalamus,HZ2M04,Thalamus,2M,4,hippo,ExN,Thalamus
Peri,0.10015635938700206,3.037936804176399e-05,1498.0,HZ2M04_Thalamus,HZ2M04,Thalamus,2M,4,hippo,Peri,Thalamus
Astro,0.09899837556682245,8.261690775019624e-07,1755.0,HZ2M04_Thalamus,HZ2M04,Thalamus,2M,4,hippo,Astro,Thalamus
InN,0.07892484388269137,3.071735379774457e-06,2128.0,HZ2M04_Thalamus,HZ2M04,Thalamus,2M,4,hippo,InN,Thalamus
Astro,0.10954309760386881,6.150667771189027e-06,1055.0,HZ2M05_Basal forebrain,HZ2M05,Basal forebrain,2M,5,ctx,Astro,Basal forebrain
InN,0.05947412229092747,0.0009760301256971316,1968.0,HZ2M05_Basal forebrain,HZ2M05,Basal forebrain,2M,5,ctx,InN,Basal forebrain
SMC,0.31126767113365006,0.008658322719528166,166.0,HZ2M05_Prefrontal cortex,HZ2M05,Prefrontal cortex,2M,5,ctx,SMC,Prefrontal cortex
Peri,0.07065961624371536,0.016804203823050954,1089.0,HZ2M05_Prefrontal cortex,HZ2M05,Prefrontal cortex,2M,5,ctx,Peri,Prefrontal cortex
Micro,0.06116628236768789,0.026249912778236417,1032.0,HZ2M05_Prefrontal cortex,HZ2M05,Prefrontal cortex,2M,5,ctx,Micro,Prefrontal cortex
InN,0.0567464477747637,1.752352091079031e-05,4329.0,HZ2M05_Prefrontal cortex,HZ2M05,Prefrontal cortex,2M,5,ctx,InN,Prefrontal cortex
Astro,0.05357115522363296,1.0274790047263851e-06,4058.0,HZ2M05_Prefrontal cortex,HZ2M05,Prefrontal cortex,2M,5,ctx,Astro,Prefrontal cortex
Olig,0.05152288108468735,0.00025277553123787276,2082.0,HZ2M05_Prefrontal cortex,HZ2M05,Prefrontal cortex,2M,5,ctx,Olig,Prefrontal cortex
ExN,0.03299073419212097,7.621782475598173e-22,22849.0,HZ2M05_Prefrontal cortex,HZ2M05,Prefrontal cortex,2M,5,ctx,ExN,Prefrontal cortex
Peri,0.13943386520289008,4.605208027773081e-11,2030.0,HZ2M05_Striatum,HZ2M05,Striatum,2M,5,ctx,Peri,Striatum
Olig,0.11873805634957729,2.7433601667497174e-71,7542.0,HZ2M05_Striatum,HZ2M05,Striatum,2M,5,ctx,Olig,Striatum
InN,0.11726034255303293,2.402340154079835e-20,3941.0,HZ2M05_Striatum,HZ2M05,Striatum,2M,5,ctx,InN,Striatum
Astro,0.09418119398104102,1.2036364799341626e-14,3473.0,HZ2M05_Striatum,HZ2M05,Striatum,2M,5,ctx,Astro,Striatum
Endo,0.09068345066041503,0.00021139709264094198,1817.0,HZ2M05_Striatum,HZ2M05,Striatum,2M,5,ctx,Endo,Striatum
ExN,0.08522463861196214,3.996321138546544e-11,4417.0,HZ2M05_Striatum,HZ2M05,Striatum,2M,5,ctx,ExN,Striatum
MSN,0.027321973383432816,0.0003952888439479034,7296.0,HZ2M05_Striatum,HZ2M05,Striatum,2M,5,ctx,MSN,Striatum
InN,0.3629307362758898,0.005073299390380488,82.0,HZ2M06_Entorhinal area,HZ2M06,Entorhinal area,2M,6,hippo,InN,Entorhinal area
ExN,0.06633274085494921,1.8325550401770366e-16,5812.0,HZ2M06_Hippocampal formation,HZ2M06,Hippocampal formation,2M,6,hippo,ExN,Hippocampal formation
SMC,0.7145112620506058,6.323756071742142e-05,58.0,HZ2M06_Retrosplenial area,HZ2M06,Retrosplenial area,2M,6,hippo,SMC,Retrosplenial area
ExN,0.05701228422916003,2.8489376904768762e-06,3074.0,HZ2M06_Retrosplenial area,HZ2M06,Retrosplenial area,2M,6,hippo,ExN,Retrosplenial area
SMC,0.989970723666574,0.00471281482155573,20.0,HZ2M06_Striatum,HZ2M06,Striatum,2M,6,hippo,SMC,Striatum
Peri,0.4176728715799816,2.5821070089680513e-19,489.0,HZ2M06_Striatum,HZ2M06,Striatum,2M,6,hippo,Peri,Striatum
InN,0.3177082977716397,4.890691987652729e-92,2136.0,HZ2M06_Striatum,HZ2M06,Striatum,2M,6,hippo,InN,Striatum
Astro,0.27073010655623364,2.029786387732704e-31,1196.0,HZ2M06_Striatum,HZ2M06,Striatum,2M,6,hippo,Astro,Striatum
Endo,0.1975557975024875,0.0031917605995391857,380.0,HZ2M06_Striatum,HZ2M06,Striatum,2M,6,hippo,Endo,Striatum
ExN,0.13284543728891482,1.2723833201074092e-13,1637.0,HZ2M06_Striatum,HZ2M06,Striatum,2M,6,hippo,ExN,Striatum
Olig,0.07024638973806617,6.398514026707946e-07,1661.0,HZ2M06_Striatum,HZ2M06,Striatum,2M,6,hippo,Olig,Striatum
MSN,0.0339359855013971,0.03330486985838031,2263.0,HZ2M06_Striatum,HZ2M06,Striatum,2M,6,hippo,MSN,Striatum
InN,0.14466659297263268,1.0245614060951468e-12,1780.0,HZ2M06_Thalamus,HZ2M06,Thalamus,2M,6,hippo,InN,Thalamus
Olig,0.08913318123253323,8.659832810922547e-20,3842.0,HZ2M06_Thalamus,HZ2M06,Thalamus,2M,6,hippo,Olig,Thalamus
ExN,0.06561371322668279,4.2484863055706655e-31,10214.0,HZ2M06_Thalamus,HZ2M06,Thalamus,2M,6,hippo,ExN,Thalamus
Peri,0.060046879117513045,0.008379568136825657,1644.0,HZ2M06_Thalamus,HZ2M06,Thalamus,2M,6,hippo,Peri,Thalamus
Astro,0.05156299381180263,0.003514194039753186,2098.0,HZ2M06_Thalamus,HZ2M06,Thalamus,2M,6,hippo,Astro,Thalamus
SMC,0.3513380652170772,0.0010242444656045407,186.0,HZ3M01_Basal forebrain,HZ3M01,Basal forebrain,3M,1,ctx,SMC,Basal forebrain
InN,0.0584087646962788,4.7466576292989806e-05,2820.0,HZ3M01_Basal forebrain,HZ3M01,Basal forebrain,3M,1,ctx,InN,Basal forebrain
Olig,0.04501754465980896,0.0019673753221774353,2219.0,HZ3M01_Basal forebrain,HZ3M01,Basal forebrain,3M,1,ctx,Olig,Basal forebrain
Peri,0.07666175227478983,0.011340338477986068,1351.0,HZ3M01_Prefrontal cortex,HZ3M01,Prefrontal cortex,3M,1,ctx,Peri,Prefrontal cortex
Olig,0.04353550361015436,0.00891963905788448,2377.0,HZ3M01_Prefrontal cortex,HZ3M01,Prefrontal cortex,3M,1,ctx,Olig,Prefrontal cortex
ExN,0.03812167614619959,2.150040543366455e-21,17447.0,HZ3M01_Prefrontal cortex,HZ3M01,Prefrontal cortex,3M,1,ctx,ExN,Prefrontal cortex
InN,0.028062635706160258,0.013675725046790878,5212.0,HZ3M01_Prefrontal cortex,HZ3M01,Prefrontal cortex,3M,1,ctx,InN,Prefrontal cortex
SMC,0.27078680528250354,1.6932719018383224e-05,435.0,HZ3M01_Striatum,HZ3M01,Striatum,3M,1,ctx,SMC,Striatum
InN,0.12288043049741822,1.6783525217753594e-30,5975.0,HZ3M01_Striatum,HZ3M01,Striatum,3M,1,ctx,InN,Striatum
Peri,0.09573240755777225,1.988533939472283e-13,4574.0,HZ3M01_Striatum,HZ3M01,Striatum,3M,1,ctx,Peri,Striatum
Olig,0.05424480651915041,6.580297746732281e-11,6026.0,HZ3M01_Striatum,HZ3M01,Striatum,3M,1,ctx,Olig,Striatum
ExN,0.05413061846214219,9.588395288969622e-07,5256.0,HZ3M01_Striatum,HZ3M01,Striatum,3M,1,ctx,ExN,Striatum
Astro,0.02926275269009883,0.029341735267744945,3502.0,HZ3M01_Striatum,HZ3M01,Striatum,3M,1,ctx,Astro,Striatum
MSN,0.02116037420199375,0.008840747642442227,7452.0,HZ3M01_Striatum,HZ3M01,Striatum,3M,1,ctx,MSN,Striatum
Astro,0.26948057782000123,0.0003472002687458318,113.0,HZ3M02_Entorhinal area,HZ3M02,Entorhinal area,3M,2,hippo,Astro,Entorhinal area
ExN,0.2504415490635451,2.933036739004165e-14,496.0,HZ3M02_Entorhinal area,HZ3M02,Entorhinal area,3M,2,hippo,ExN,Entorhinal area
Olig,0.08340935918131082,0.00016049190865240082,1086.0,HZ3M02_Hippocampal formation,HZ3M02,Hippocampal formation,3M,2,hippo,Olig,Hippocampal formation
Peri,0.06675994429621498,0.0040050706142524045,1304.0,HZ3M02_Hippocampal formation,HZ3M02,Hippocampal formation,3M,2,hippo,Peri,Hippocampal formation
ExN,0.014310265062617969,0.02593786144127739,7523.0,HZ3M02_Hippocampal formation,HZ3M02,Hippocampal formation,3M,2,hippo,ExN,Hippocampal formation
ExN,0.05371079030812599,1.3729039019724706e-05,3336.0,HZ3M02_Retrosplenial area,HZ3M02,Retrosplenial area,3M,2,hippo,ExN,Retrosplenial area
SMC,0.29672202354284316,0.003952792327363619,96.0,HZ3M02_Striatum,HZ3M02,Striatum,3M,2,hippo,SMC,Striatum
InN,0.2701168937257892,4.188912054389134e-55,1904.0,HZ3M02_Striatum,HZ3M02,Striatum,3M,2,hippo,InN,Striatum
Peri,0.20238253435862694,2.288898712399905e-17,1346.0,HZ3M02_Striatum,HZ3M02,Striatum,3M,2,hippo,Peri,Striatum
ExN,0.12410833937356115,1.7395486135022443e-07,1316.0,HZ3M02_Striatum,HZ3M02,Striatum,3M,2,hippo,ExN,Striatum
Astro,0.11656851054526826,5.2973485176262705e-08,1303.0,HZ3M02_Striatum,HZ3M02,Striatum,3M,2,hippo,Astro,Striatum
MSN,0.11243556438841189,5.294312224956033e-14,2574.0,HZ3M02_Striatum,HZ3M02,Striatum,3M,2,hippo,MSN,Striatum
Olig,0.11117017546748667,1.1172335909438415e-14,1802.0,HZ3M02_Striatum,HZ3M02,Striatum,3M,2,hippo,Olig,Striatum
ExN,0.2897362223723865,0.0,8255.0,HZ3M02_Thalamus,HZ3M02,Thalamus,3M,2,hippo,ExN,Thalamus
Micro,0.22287980584620823,3.340613299029915e-05,419.0,HZ3M02_Thalamus,HZ3M02,Thalamus,3M,2,hippo,Micro,Thalamus
InN,0.1647437939279708,1.5447711207214337e-41,4021.0,HZ3M02_Thalamus,HZ3M02,Thalamus,3M,2,hippo,InN,Thalamus
Peri,0.13551739396296145,1.767274712026156e-20,3151.0,HZ3M02_Thalamus,HZ3M02,Thalamus,3M,2,hippo,Peri,Thalamus
MSN,0.0927684749945672,0.0079683183751449,1090.0,HZ3M02_Thalamus,HZ3M02,Thalamus,3M,2,hippo,MSN,Thalamus
Astro,0.06203665923216471,0.0008946931318424749,1919.0,HZ3M02_Thalamus,HZ3M02,Thalamus,3M,2,hippo,Astro,Thalamus
Olig,0.06069363732731549,2.003347276728981e-14,5441.0,HZ3M02_Thalamus,HZ3M02,Thalamus,3M,2,hippo,Olig,Thalamus
SMC,0.9168067689513022,9.851820517413365e-08,108.0,HZ3M03_Basal forebrain,HZ3M03,Basal forebrain,3M,3,ctx,SMC,Basal forebrain
InN,0.039284568943103386,0.004995950886854473,2982.0,HZ3M03_Basal forebrain,HZ3M03,Basal forebrain,3M,3,ctx,InN,Basal forebrain
Endo,0.8540941137797069,0.00012012816627591007,185.0,HZ3M03_Prefrontal cortex,HZ3M03,Prefrontal cortex,3M,3,ctx,Endo,Prefrontal cortex
Astro,0.03812773939651335,0.016160819161514395,2971.0,HZ3M03_Prefrontal cortex,HZ3M03,Prefrontal cortex,3M,3,ctx,Astro,Prefrontal cortex
ExN,0.03430296231448831,2.439887152362335e-25,24299.0,HZ3M03_Prefrontal cortex,HZ3M03,Prefrontal cortex,3M,3,ctx,ExN,Prefrontal cortex
InN,0.19280509925908046,7.63518109022677e-73,6282.0,HZ3M03_Striatum,HZ3M03,Striatum,3M,3,ctx,InN,Striatum
Endo,0.17740213736904215,0.010343499451326938,716.0,HZ3M03_Striatum,HZ3M03,Striatum,3M,3,ctx,Endo,Striatum
Peri,0.17099849040394635,1.1432905382385782e-43,5422.0,HZ3M03_Striatum,HZ3M03,Striatum,3M,3,ctx,Peri,Striatum
SMC,0.14491217526266031,0.010817316750658954,506.0,HZ3M03_Striatum,HZ3M03,Striatum,3M,3,ctx,SMC,Striatum
ExN,0.1429760312207617,8.181224138999871e-44,6202.0,HZ3M03_Striatum,HZ3M03,Striatum,3M,3,ctx,ExN,Striatum
Astro,0.12363726617750063,1.5467809276548555e-22,4099.0,HZ3M03_Striatum,HZ3M03,Striatum,3M,3,ctx,Astro,Striatum
Olig,0.08721505316090718,4.2753654713686544e-32,7723.0,HZ3M03_Striatum,HZ3M03,Striatum,3M,3,ctx,Olig,Striatum
Micro,0.07170452263836194,0.014318598278910457,1107.0,HZ3M03_Striatum,HZ3M03,Striatum,3M,3,ctx,Micro,Striatum
MSN,0.02998395761661378,1.7827876096829279e-06,10616.0,HZ3M03_Striatum,HZ3M03,Striatum,3M,3,ctx,MSN,Striatum
InN,0.1313873850752567,0.032748921013321074,257.0,HZ3M04_Entorhinal area,HZ3M04,Entorhinal area,3M,4,hippo,InN,Entorhinal area
ExN,0.054079961025481266,1.930680657664382e-17,8476.0,HZ3M04_Hippocampal formation,HZ3M04,Hippocampal formation,3M,4,hippo,ExN,Hippocampal formation
Endo,0.4021568805358385,0.03707536084635778,75.0,HZ3M04_Retrosplenial area,HZ3M04,Retrosplenial area,3M,4,hippo,Endo,Retrosplenial area
Astro,0.0899405990702939,0.008580496014486657,622.0,HZ3M04_Retrosplenial area,HZ3M04,Retrosplenial area,3M,4,hippo,Astro,Retrosplenial area
InN,0.06731051844949222,0.0010862222186202861,1581.0,HZ3M04_Retrosplenial area,HZ3M04,Retrosplenial area,3M,4,hippo,InN,Retrosplenial area
ExN,0.04548236028731605,9.681935687563902e-05,3335.0,HZ3M04_Retrosplenial area,HZ3M04,Retrosplenial area,3M,4,hippo,ExN,Retrosplenial area
OPC,-0.48830150022777596,0.03361062352710565,83.0,HZ3M04_Retrosplenial area,HZ3M04,Retrosplenial area,3M,4,hippo,OPC,Retrosplenial area
OPC,0.7737170634029915,0.01771526491475181,82.0,HZ3M04_Striatum,HZ3M04,Striatum,3M,4,hippo,OPC,Striatum
Endo,0.43741802777332683,0.0014906464640302912,119.0,HZ3M04_Striatum,HZ3M04,Striatum,3M,4,hippo,Endo,Striatum
ExN,0.3670808018583383,7.26675643192709e-29,756.0,HZ3M04_Striatum,HZ3M04,Striatum,3M,4,hippo,ExN,Striatum
Micro,0.35912490626315363,0.005487344269542174,130.0,HZ3M04_Striatum,HZ3M04,Striatum,3M,4,hippo,Micro,Striatum
InN,0.31019851964083844,1.0106545794130632e-17,726.0,HZ3M04_Striatum,HZ3M04,Striatum,3M,4,hippo,InN,Striatum
Peri,0.2932591556797145,3.100877433882284e-10,545.0,HZ3M04_Striatum,HZ3M04,Striatum,3M,4,hippo,Peri,Striatum
Astro,0.1962321474162786,3.927398019943198e-08,670.0,HZ3M04_Striatum,HZ3M04,Striatum,3M,4,hippo,Astro,Striatum
Olig,0.11308829957494937,1.6971734368276818e-09,1083.0,HZ3M04_Striatum,HZ3M04,Striatum,3M,4,hippo,Olig,Striatum
MSN,0.10225298614951044,4.414815854353675e-08,1651.0,HZ3M04_Striatum,HZ3M04,Striatum,3M,4,hippo,MSN,Striatum
Micro,0.16473298574815148,0.002579074351127495,416.0,HZ3M04_Thalamus,HZ3M04,Thalamus,3M,4,hippo,Micro,Thalamus
InN,0.07237651011425492,2.9596606051902914e-06,3182.0,HZ3M04_Thalamus,HZ3M04,Thalamus,3M,4,hippo,InN,Thalamus
Olig,0.02835284762031214,0.0032100480055533456,4725.0,HZ3M04_Thalamus,HZ3M04,Thalamus,3M,4,hippo,Olig,Thalamus
ExN,0.016203838003400133,0.012203548180229394,9122.0,HZ3M04_Thalamus,HZ3M04,Thalamus,3M,4,hippo,ExN,Thalamus
SMC,0.4566269489982861,3.49026500081986e-05,112.0,HZ3M05_Basal forebrain,HZ3M05,Basal forebrain,3M,5,ctx,SMC,Basal forebrain
Peri,0.17219780522681002,5.2906842053646755e-17,1487.0,HZ3M05_Basal forebrain,HZ3M05,Basal forebrain,3M,5,ctx,Peri,Basal forebrain
InN,0.15128659339116302,1.1674534829924306e-46,3880.0,HZ3M05_Basal forebrain,HZ3M05,Basal forebrain,3M,5,ctx,InN,Basal forebrain
Olig,0.13878415532602412,2.6469349780469726e-27,2194.0,HZ3M05_Basal forebrain,HZ3M05,Basal forebrain,3M,5,ctx,Olig,Basal forebrain
ExN,0.10509266838547991,7.724885310579934e-06,1641.0,HZ3M05_Basal forebrain,HZ3M05,Basal forebrain,3M,5,ctx,ExN,Basal forebrain
Astro,0.06989875813674044,0.007166232030490021,1037.0,HZ3M05_Basal forebrain,HZ3M05,Basal forebrain,3M,5,ctx,Astro,Basal forebrain
SMC,0.2972289130091903,3.3945717611063394e-05,245.0,HZ3M05_Prefrontal cortex,HZ3M05,Prefrontal cortex,3M,5,ctx,SMC,Prefrontal cortex
OPC,0.27895674533924447,0.00010071968963657729,542.0,HZ3M05_Prefrontal cortex,HZ3M05,Prefrontal cortex,3M,5,ctx,OPC,Prefrontal cortex
Astro,0.15663548734744542,2.5761802957651512e-27,2952.0,HZ3M05_Prefrontal cortex,HZ3M05,Prefrontal cortex,3M,5,ctx,Astro,Prefrontal cortex
Peri,0.11932957827518248,1.6368981264716537e-11,2472.0,HZ3M05_Prefrontal cortex,HZ3M05,Prefrontal cortex,3M,5,ctx,Peri,Prefrontal cortex
Micro,0.0653941877670642,0.04016502743069796,982.0,HZ3M05_Prefrontal cortex,HZ3M05,Prefrontal cortex,3M,5,ctx,Micro,Prefrontal cortex
ExN,0.06252613075107219,1.7893432025361218e-85,25537.0,HZ3M05_Prefrontal cortex,HZ3M05,Prefrontal cortex,3M,5,ctx,ExN,Prefrontal cortex
InN,0.061324664057276504,1.299353723350485e-09,5947.0,HZ3M05_Prefrontal cortex,HZ3M05,Prefrontal cortex,3M,5,ctx,InN,Prefrontal cortex
Olig,0.03618561719420006,0.002058271105537491,3131.0,HZ3M05_Prefrontal cortex,HZ3M05,Prefrontal cortex,3M,5,ctx,Olig,Prefrontal cortex
Peri,0.3659122618883126,4.81680245528932e-281,5688.0,HZ3M05_Striatum,HZ3M05,Striatum,3M,5,ctx,Peri,Striatum
SMC,0.290650194599558,1.6620331217071092e-14,543.0,HZ3M05_Striatum,HZ3M05,Striatum,3M,5,ctx,SMC,Striatum
InN,0.16325000548468166,4.3462878128754044e-86,7718.0,HZ3M05_Striatum,HZ3M05,Striatum,3M,5,ctx,InN,Striatum
Astro,0.1572066482224885,2.7239667010285355e-49,4373.0,HZ3M05_Striatum,HZ3M05,Striatum,3M,5,ctx,Astro,Striatum
Endo,0.1444118289067282,0.0019132508631323896,875.0,HZ3M05_Striatum,HZ3M05,Striatum,3M,5,ctx,Endo,Striatum
OPC,0.1307208718036855,0.012239416449046312,760.0,HZ3M05_Striatum,HZ3M05,Striatum,3M,5,ctx,OPC,Striatum
MSN,0.08987030231677733,1.3700858535889945e-61,12032.0,HZ3M05_Striatum,HZ3M05,Striatum,3M,5,ctx,MSN,Striatum
ExN,0.08501877842823612,1.609782446795352e-15,6380.0,HZ3M05_Striatum,HZ3M05,Striatum,3M,5,ctx,ExN,Striatum
